Complexity,Loss,Equation
1,0.24999996,"0.50017434"
4,0.24352437,"log(age + 1.9440459)"
5,0.21226989,"log(sqrt(2.702944 + age))"
6,0.20488599,"log(age + 2.250267) * 0.6625973"
7,0.20230673,"((age - wav_wavelet_qrs_peak) * 0.14149953) + 0.50008166"
8,0.19685449,"2.3156643 - abs(1.7769765 - (age * 0.4379956))"
9,0.18444464,"(rr_mean_ms + (quality_score - (3.601448 - wav_wavelet_qrs_peak))) * -0.13886514"
10,0.18312226,"0.1471819 * abs(quality_score + (rr_mean_ms - (3.3511038 - wav_wavelet_qrs_peak)))"
11,0.17651832,"(((age - wav_wavelet_qrs_peak) + 4.2794313) - (quality_score - heart_rate_bpm)) * 0.11684746"
12,0.1757164,"(age + abs((4.126617 - wav_wavelet_qrs_peak) - (quality_score - heart_rate_bpm))) * 0.12034921"
13,0.17477702,"((((age - sex) - wav_wavelet_qrs_peak) + 4.794871) - (quality_score - heart_rate_bpm)) * 0.10429487"
14,0.16817169,"0.13003638 * (((age + 4.357899) - wav_wavelet_qrs_peak) - ((quality_score + abs(age)) - heart_rate_bpm))"
15,0.16627544,"(abs(age) - abs((3.9962423 - (quality_score - heart_rate_bpm)) + (age - wav_wavelet_qrs_peak))) * -0.1406068"
16,0.16375099,"((age - -5.1687903) - ((quality_score + abs(age + -0.85494)) - (heart_rate_bpm - wav_wavelet_qrs_peak))) * 0.12088018"
17,0.16290815,"(age + abs((abs(age + -1.0869044) + (quality_score - heart_rate_bpm)) - (5.2322383 - wav_wavelet_qrs_peak))) * 0.12404578"
18,0.16266875,"(((age + 10.314483) - wav_wavelet_qrs_peak) - ((quality_score - heart_rate_bpm) + abs((age + -2.3956945) * 2.1513376))) * 0.102726236"
19,0.16075733,"(age + ((4.4300756 - wav_wavelet_qrs_peak) - (((abs(age + -0.6885791) + quality_score) - abs(wav_wavelet_coef_min)) - heart_rate_bpm))) * 0.11615265"
20,0.16067792,"abs((abs(age + -0.6870482) + ((quality_score - abs(wav_wavelet_coef_min)) - heart_rate_bpm)) - ((age + 4.3812256) - wav_wavelet_qrs_peak)) * 0.11712275"
