Complexity,Loss,Equation
1,0.24999997,"0.49999413"
5,0.217498,"log(sqrt(age - -2.734544))"
6,0.21317594,"square(2.7678833 / (age - 3.849588))"
7,0.20307359,"log(sqrt((heart_rate_bpm + age) - -3.0042071))"
8,0.20252942,"abs(log(sqrt(heart_rate_bpm + (age - -2.9712765))))"
9,0.19012892,"log(sqrt((wav_wavelet_coef_kurtosis + age) + (heart_rate_bpm - -2.9892752)))"
10,0.18974616,"abs(log(sqrt(((wav_wavelet_coef_kurtosis + heart_rate_bpm) + age) - -2.9662483)))"
11,0.18557557,"log(sqrt((((wav_wavelet_coef_kurtosis + comp_rr_hjorth_activity) + heart_rate_bpm) + age) - -3.0559192))"
12,0.18426007,"log(sqrt((abs(rr_std_ms) + (age + (wav_wavelet_coef_kurtosis - -2.6285615))) + heart_rate_bpm))"
13,0.18349385,"abs(log(sqrt(abs(rr_std_ms) + (heart_rate_bpm + ((age + wav_wavelet_coef_kurtosis) - -2.6014893)))))"
14,0.18323675,"abs(log(sqrt(abs(((age - -2.5745401) + heart_rate_bpm) + wav_wavelet_coef_kurtosis) + abs(rr_std_ms))))"
15,0.18144272,"log(sqrt(abs((abs(rr_std_ms) + (heart_rate_bpm + wav_wavelet_coef_kurtosis)) + (age - -1.5431927)) + 0.93140584))"
16,0.18107422,"abs(log(sqrt(abs(abs(rr_std_ms) + (heart_rate_bpm + (wav_wavelet_coef_kurtosis + (age - -1.7902642)))) + 0.67451435)))"
17,0.179399,"log(sqrt(abs((abs(rr_std_ms) + wav_wavelet_coef_kurtosis) + (((age - -1.2289174) / 0.7043539) + heart_rate_bpm)) + 0.8474197))"
18,0.17876707,"abs(log(sqrt(abs((wav_wavelet_coef_kurtosis + (abs(rr_std_ms) + heart_rate_bpm)) + ((age - -1.2630618) / 0.6824273)) + 0.7377942)))"
20,0.17836396,"abs(log(sqrt(abs((abs(rr_std_ms + 0.13729651) + (wav_wavelet_coef_kurtosis + ((age - -1.265839) / 0.6519958))) + heart_rate_bpm) + 0.7146801)))"
