Complexity,Loss,Equation
1,0.24999996,"0.49996576"
4,0.24951386,"abs(0.49241045 / sex)"
5,0.23771752,"0.6963627 / (wav_wavelet_total_energy - -1.5638139)"
6,0.23682116,"0.39466345 / sqrt(wav_wavelet_total_energy - -0.83419186)"
7,0.23664808,"(5.248779 - (wav_wavelet_energy_approx + wav_wavelet_coef_std)) * 0.09526113"
8,0.23658034,"(square(quality_score) + (6.2676578 - wav_wavelet_coef_std)) * 0.06880078"
9,0.23256536,"(((6.2601476 - rr_std_ms) - wav_wavelet_coef_std) - wav_wavelet_energy_approx) * 0.07986539"
10,0.22972749,"0.10597055 * ((abs(quality_score) - wav_wavelet_coef_std) + (3.9142597 - wav_wavelet_energy_approx))"
11,0.22946423,"log((((square(quality_score) + 10.887541) - wav_wavelet_coef_std) - wav_wavelet_energy_approx) * 0.14030874)"
12,0.22708885,"(((square(quality_score) - rr_std_ms) + (6.212034 - wav_wavelet_energy_approx)) - wav_wavelet_coef_std) * 0.06932541"
13,0.22536384,"(abs(comp_sig_hjorth_mobility) + (square(quality_score) + ((4.0427594 - wav_wavelet_coef_std) - wav_wavelet_energy_concentration))) * 0.08598963"
14,0.22441103,"log((((square(quality_score) + 9.334293) - wav_wavelet_coef_std) + (abs(comp_sig_hjorth_mobility) - wav_wavelet_energy_concentration)) * 0.1504678)"
15,0.22152364,"((((abs(comp_sig_hjorth_mobility * wav_wavelet_coef_std) + 3.8354752) - wav_wavelet_coef_std) - wav_wavelet_energy_concentration) + square(quality_score)) * 0.09165587"
17,0.21978411,"(abs(wav_wavelet_coef_min - comp_rr_approx_entropy) + (((square(quality_score) + (4.4501925 - rr_std_ms)) - wav_wavelet_coef_std) - wav_wavelet_energy_concentration)) * 0.07565412"
18,0.21745089,"(((abs(comp_rr_approx_entropy - wav_wavelet_coef_min) + 2.528702) + (square(quality_score) - wav_wavelet_coef_std)) + (abs(comp_sig_hjorth_mobility) - wav_wavelet_energy_concentration)) * 0.0915845"
20,0.21626334,"((((square(quality_score) + 3.4000096) - wav_wavelet_coef_mean_abs) + (abs(comp_sig_hjorth_mobility) - rr_std_ms)) + (abs(wav_wavelet_coef_min - comp_rr_approx_entropy) - wav_wavelet_energy_concentration)) * 0.0789791"
