Complexity,Loss,Equation
1,0.24999999,"0.5000017"
4,0.21607836,"log(wav_wavelet_coef_kurtosis - -2.045343)"
5,0.17499086,"(wav_wavelet_coef_kurtosis * 0.27388018) - -0.5000006"
6,0.16625573,"log(wav_wavelet_coef_kurtosis - -2.2844968) * 0.6791249"
7,0.1476431,"(wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - 2.617424)) * 0.19102761"
8,0.14089614,"log(((wav_wavelet_coef_kurtosis - wav_wavelet_coef_min) * 0.3494007) - -1.7409008)"
10,0.12763233,"(wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.8299378 - age))) * 0.22937502"
11,0.12676917,"(wav_wavelet_coef_kurtosis + abs(abs(age - -1.7374053) - wav_wavelet_coef_min)) * 0.23562472"
12,0.11334606,"((wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(age - -1.0434128))) * 0.21017599) + 0.23181795"
13,0.10459277,"(abs(wav_wavelet_energy_approx) + (wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.2969754 - age)))) * 0.21831223"
14,0.10388985,"(sqrt(abs(wav_wavelet_energy_approx)) + (wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.1697773 - age)))) * 0.22499537"
15,0.10037589,"abs((0.96118325 + log(abs((wav_wavelet_coef_min - abs(age - -1.5513364)) - wav_wavelet_coef_kurtosis))) * -0.39915946)"
16,0.09998932,"square(-0.5960549 + sqrt(abs(1.1971612 + log(abs((wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - age)) - -1.5365438)))))"
17,0.09071948,"square(-0.78861535 + sqrt(abs(1.8155252 + log(abs(wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.5180401 - age)))))))"
19,0.082529865,"square(sqrt(abs(log(abs(((wav_wavelet_coef_min - abs(-1.0527706 - age)) - 0.48426923) - wav_wavelet_coef_kurtosis)) + 1.1893494)) + -0.59451544)"
