Complexity,Loss,Equation
1,0.2198887,"0.6736365"
4,0.16739815,"log(heart_rate_bpm + 2.2742636)"
5,0.13657585,"(rr_mean_ms * -0.28863978) - -0.67352545"
6,0.13441686,"abs((rr_mean_ms * -0.30866507) - -0.6661884)"
7,0.1324519,"sqrt(abs((1.2808025 - rr_mean_ms) * -0.39558637))"
8,0.10588906,"0.7533011 * log(rr_std_ms + (heart_rate_bpm + 2.6958869))"
9,0.103835136,"abs(log(rr_std_ms + (2.6096592 + heart_rate_bpm)) * 0.7751973)"
10,0.09670034,"sqrt(abs(log(heart_rate_bpm + (rr_std_ms + 2.470519)))) - 0.17422591"
11,0.078303024,"log((rr_std_ms + 2.6682324) + (abs(heart_rate_bpm) / heart_rate_bpm)) * 0.78260314"
12,0.074852996,"log(sqrt(((heart_rate_bpm / abs(heart_rate_bpm)) + rr_std_ms) + 2.0011015)) + 0.4568611"
13,0.06855995,"sqrt(abs(log(rr_std_ms + ((abs(heart_rate_bpm) / heart_rate_bpm) + 2.4594734)))) + -0.13615353"
14,0.06827389,"abs(0.13985375 - sqrt(abs(log(((heart_rate_bpm / abs(heart_rate_bpm)) + rr_std_ms) + 2.4638302))))"
15,0.05897299,"abs(square(-1.5599409 + log((3.1622374 + (abs(heart_rate_bpm) / heart_rate_bpm)) + rr_std_ms)) - 1.0472215)"
17,0.058241468,"(square(abs(log((rr_std_ms + (heart_rate_bpm / abs(heart_rate_bpm))) + 2.434389)) + -1.4018295) - 1.8255981) * -0.56946146"
18,0.056469206,"abs((1.5413202 - square(abs(log(((abs(heart_rate_bpm) / heart_rate_bpm) + rr_std_ms) + 2.43392)) + -1.3356065)) * -0.6710858)"
