Complexity,Loss,Equation
1,0.25,"0.5000039"
5,0.21541177,"(0.18597373 * age) + 0.5000055"
6,0.20955281,"square((age * 0.17023589) + 0.68123126)"
7,0.18683894,"((heart_rate_bpm + 2.913759) + age) * 0.17159936"
8,0.1855092,"abs(heart_rate_bpm + (age + 2.6478722)) * 0.18532611"
9,0.184738,"abs((abs(heart_rate_bpm + 2.4052203) + age) * 0.19926989)"
10,0.18070756,"0.36203837 + ((abs(heart_rate_bpm + 0.63980997) + age) * 0.18394585)"
11,0.17848253,"(abs(age + 1.7455671) + abs(heart_rate_bpm + 0.58627385)) * 0.19674128"
12,0.17700432,"0.46230325 * sqrt(age + (abs(n_beats + 0.36905965) + abs(age)))"
14,0.17605335,"sqrt((((age + (abs(age) + heart_rate_bpm)) + abs(heart_rate_bpm)) * 0.17370805) + 0.05222282)"
15,0.17503566,"((abs(heart_rate_bpm + 0.582205) + abs(age + 1.8133004)) - (wav_wavelet_coef_min * 0.30646265)) * 0.19287534"
16,0.17497644,"(abs(0.5832018 + heart_rate_bpm) + abs(abs(age + 1.829605) - (0.3136859 * wav_wavelet_coef_min))) * 0.191928"
17,0.17074136,"sqrt(abs((age + (((heart_rate_bpm + abs(age)) + abs(n_beats)) - (wav_wavelet_coef_kurtosis * -0.51743305))) * 0.20402956))"
18,0.17023815,"sqrt(abs((wav_wavelet_coef_kurtosis * -0.49550852) - ((age + abs(age)) + abs(abs(n_beats) + heart_rate_bpm)))) * 0.44727546"
19,0.16983625,"sqrt(abs((abs(heart_rate_bpm + abs(n_beats)) + (abs((wav_wavelet_coef_kurtosis * -0.5095792) - abs(age)) + age)) * 0.19650973))"
20,0.16971964,"sqrt(abs((abs(abs(age) - (wav_wavelet_coef_kurtosis * -0.51040006)) + ((age + abs(n_beats)) + heart_rate_bpm)) * 0.193122) + 0.013416001)"
