Complexity,Loss,Equation
1,0.19994868,"0.7237189"
4,0.19478834,"square(0.85009575 / sex)"
5,0.1202948,"(age * 0.2822309) + 0.72372425"
6,0.12013215,"abs((age * 0.2845742) + 0.72291434)"
7,0.11891081,"abs(log((age * 0.5384059) + 2.1303048))"
8,0.11073208,"log((age + rr_std_ms) + 3.6013877) * 0.61474544"
9,0.10836289,"abs(0.62698597 * log(age + (3.51033 + rr_std_ms)))"
11,0.10723457,"((age + -1.2626085) * (-0.10617677 * (rr_std_ms - 2.3611345))) + 1.0594789"
12,0.104713984,"1.1453682 - (square(4.5483046 - rr_std_ms) * ((age + -1.5768298) * -0.011936575))"
13,0.10148767,"abs((square((age + -3.1727834) * (rr_std_ms - 3.8512046)) * -0.0024479385) + 1.1566972)"
15,0.10125508,"abs((square(((rr_std_ms - 2.5797763) * (age + -3.1167939)) + rr_std_ms) * -0.0053489385) + 1.1324458)"
16,0.10007236,"(((rr_std_ms - 2.4553466) * (age + -1.5291002)) * ((8.50139 - square(rr_mean_ms)) * -0.012555488)) + 1.107637"
17,0.0988582,"(((age + -1.53197) * abs((square(rr_mean_ms) - 8.630095) * (2.1452577 - rr_std_ms))) * 0.014095588) + 1.116872"
18,0.0970434,"(((((square(rr_mean_ms) + -7.0565553) - rr_mean_ms) * 0.014961844) * (rr_std_ms - 2.4020371)) * (age + -1.525638)) + 1.0934073"
19,0.095887125,"1.1041276 + (abs(((-7.0870085 + (square(rr_mean_ms) - rr_mean_ms)) * 0.01679226) * (rr_std_ms - 2.133752)) * (-1.5272857 + age))"
20,0.09436616,"(((age + -1.5255457) * ((rr_std_ms - 2.2499127) * 0.015526116)) * (square(rr_mean_ms) + ((comp_sig_hjorth_complexity - rr_mean_ms) - 6.592054))) + 1.0700476"
