Complexity,Loss,Equation
1,0.24999996,"0.49998686"
4,0.19063704,"1.5000184 - square(sex)"
5,0.18678823,"(-0.25141594 / sex) + 0.42119282"
7,0.16626969,"0.19590086 * (comp_sig_hjorth_complexity + (2.552577 - sex))"
8,0.16223724,"log((0.3398014 * (comp_sig_hjorth_complexity - sex)) - -1.7217207)"
10,0.15690763,"log(((age + (wav_wavelet_total_energy - sex)) * 0.2736237) - -1.7227039)"
11,0.15351796,"((wav_wavelet_coef_min - (age + (comp_sig_hjorth_complexity - sex))) * -0.13649361) - -0.49999696"
12,0.1474977,"log((((comp_sig_hjorth_activity + (comp_sig_hjorth_complexity - sex)) + age) * 0.23934813) - -1.7368463)"
14,0.14220345,"1.3180825 - square((((comp_sig_hjorth_complexity + comp_sig_hjorth_activity) + (age - sex)) * 0.08994685) + -0.8770965)"
15,0.14200285,"abs(square(((comp_sig_hjorth_complexity + (comp_sig_hjorth_activity + (age - sex))) * 0.12199077) + -0.6370085) - 0.98271954)"
16,0.1419639,"1.2886957 - square((((((age - sex) + comp_rr_hjorth_activity) + comp_sig_hjorth_complexity) - wav_wavelet_coef_min) * 0.08651002) + -0.8575895)"
17,0.14188156,"abs(square((((((age + comp_sig_hjorth_complexity) - wav_wavelet_coef_min) - sex) + comp_rr_hjorth_activity) * 0.115705036) + -0.6420225) - 0.99450207)"
18,0.14036623,"1.0811107 - square((((((comp_sig_hjorth_complexity - sex) / 0.61313874) - snr_db) + (age - wav_wavelet_coef_min)) * 0.06832477) + -0.7234138)"
19,0.13977784,"(((age + ((heart_rate_bpm / sex) + ((comp_sig_hjorth_complexity - quality_score) - wav_wavelet_coef_min))) - (sex / 0.44940507)) * 0.08944785) - -0.48450637"
