Complexity,Loss,Equation
1,0.1780455,"0.7682322"
4,0.1757603,"-0.23079206 + abs(sex)"
5,0.14904347,"(age * 0.17029905) + 0.76824194"
6,0.14736685,"log(age + 3.7828555) * 0.5952469"
7,0.1455088,"0.76824343 + ((comp_sig_hjorth_complexity + age) / 8.872761)"
8,0.13790213,"log(age + (comp_sig_hjorth_complexity + 4.462214)) * 0.5371826"
10,0.13523515,"log(((age + -3.7795193) / (comp_sig_hjorth_complexity + 3.6753216)) + 3.3069623)"
11,0.13216348,"((age - 2.9579825) / (wav_wavelet_coef_mean_abs + (comp_sig_hjorth_complexity + 6.0040674))) + 1.2901219"
12,0.12850149,"log(((age - 3.4950187) / ((comp_sig_hjorth_activity + 3.634034) + comp_sig_hjorth_complexity)) + 3.2688758)"
13,0.12812445,"(((age + -2.0693128) / (comp_sig_hjorth_activity + (comp_sig_hjorth_complexity + 2.2189925))) * 0.2576192) + 1.0788383"
14,0.12785211,"log(((age - 3.605789) / (comp_sig_hjorth_complexity + ((wav_wavelet_coef_min * -0.6187877) + 3.5958114))) + 3.3033898)"
15,0.12778848,"((age + -1.6442155) * ((0.49078497 / ((comp_sig_hjorth_complexity + comp_sig_hjorth_activity) + 2.5891857)) + -0.08478685)) + 1.009675"
16,0.12771587,"log((((age - 3.322905) / (comp_sig_hjorth_complexity + ((wav_wavelet_coef_min * -0.5610183) + 3.149626))) + 3.8539648) / 1.2145416)"
17,0.12673095,"((age + -2.2004838) * ((0.27441126 / (comp_sig_hjorth_activity + (comp_sig_hjorth_complexity + 2.2478247))) + (wav_wavelet_energy_d5 * -0.016889425))) + 1.1090732"
18,0.124867685,"((-2.0215795 + age) * ((0.27209434 + (-0.027953854 * square(rr_mean_ms))) / ((2.215979 + comp_sig_hjorth_complexity) + comp_sig_hjorth_activity))) + 1.0616498"
19,0.12486202,"abs(((-2.036134 + age) * (((-0.027484534 * square(rr_mean_ms)) + 0.27337405) / (comp_sig_hjorth_complexity + (2.2181756 + comp_sig_hjorth_activity)))) + 1.0660173)"
