Complexity,Loss,Equation
1,0.24999946,"0.500674"
5,0.23897138,"(wav_wavelet_coef_min * -0.10501412) + 0.50067914"
6,0.23617539,"(abs(wav_wavelet_coef_std) * 0.1772466) + 0.3680486"
7,0.23086008,"((wav_wavelet_coef_min - comp_sig_hjorth_complexity) * -0.1155553) + 0.50067645"
8,0.2304551,"log((-0.21783113 * (wav_wavelet_coef_min - comp_sig_hjorth_complexity)) + 1.666917)"
9,0.230092,"(0.50067645 + (wav_wavelet_coef_min * -0.13285372)) - (comp_sig_hjorth_complexity * -0.098256305)"
10,0.22751297,"((abs(wav_wavelet_coef_mean_abs) + (comp_sig_hjorth_complexity - wav_wavelet_coef_min)) * 0.093878806) + 0.43229213"
11,0.22237687,"log(sqrt(abs(comp_sig_hjorth_complexity + (abs(wav_wavelet_coef_mean_abs) - wav_wavelet_coef_min)) + 1.8817682))"
12,0.22132835,"sqrt(abs((abs(wav_wavelet_coef_mean_abs) + (comp_sig_hjorth_complexity - wav_wavelet_coef_min)) * 0.102142334)) + 0.22370103"
13,0.21981288,"sqrt(log(1.0999988 + abs(wav_wavelet_coef_min - (comp_sig_hjorth_complexity + abs(wav_wavelet_coef_mean_abs))))) * 0.6670157"
14,0.21834064,"sqrt(log(1.1099889 + abs(comp_sig_hjorth_complexity + abs(abs(wav_wavelet_coef_mean_abs) - wav_wavelet_coef_min)))) * 0.66751015"
16,0.21787344,"((comp_rr_lempel_ziv_complexity * -0.036728583) + 0.32495672) * (sqrt(abs((abs(wav_wavelet_coef_mean_abs) + comp_sig_hjorth_complexity) - wav_wavelet_coef_min)) + 0.6745907)"
17,0.2162304,"(age * 0.06371466) + ((sqrt(abs(comp_sig_hjorth_complexity + abs(wav_wavelet_coef_min - abs(wav_wavelet_coef_mean_abs)))) * 0.30392328) + 0.24214898)"
18,0.21421525,"(sqrt(abs(((comp_sig_hjorth_complexity - wav_wavelet_coef_min) + abs(wav_wavelet_coef_mean_abs)) * 0.100626245)) + ((comp_rr_lempel_ziv_complexity - age) * -0.05971052)) + 0.22567393"
19,0.21406637,"0.2184144 + abs(sqrt(abs(0.102308765 * ((comp_sig_hjorth_complexity - wav_wavelet_coef_min) + abs(wav_wavelet_coef_mean_abs)))) + ((comp_rr_lempel_ziv_complexity - age) * -0.069128916))"
