Complexity,Loss,Equation
1,0.21589305,"0.68466973"
4,0.2155112,"square(sex) - 0.3153284"
5,0.19819792,"(n_beats * 0.13303299) + 0.68468964"
6,0.19783957,"log(2.002172 + (n_beats * 0.2920517))"
7,0.19156285,"((n_beats + age) * 0.113457985) + 0.684681"
8,0.18931271,"log(sqrt(abs(rr_std_ms) + (n_beats + 3.4790328)))"
9,0.18861678,"log((abs(rr_std_ms) + 3.1428933) + n_beats) * 0.54260796"
10,0.18784726,"log(sqrt((n_beats + abs(rr_std_ms + rmssd)) + 3.1204565))"
11,0.18455812,"log(sqrt(((quality_score - age) * -0.5434) + (n_beats + 4.0602684)))"
12,0.18283895,"log(sqrt(((n_beats + abs(rr_std_ms)) + 3.5311885) + (age * 0.5537994)))"
13,0.18201908,"log(n_beats + (((quality_score * -0.45371935) + 3.1327322) + abs(rr_std_ms))) * 0.5475369"
14,0.17757156,"log(sqrt((abs(rr_std_ms) + (n_beats + 3.548681)) + ((quality_score - age) * -0.49276128)))"
15,0.17545272,"log(((((quality_score - wav_wavelet_coef_kurtosis) * -0.4220913) + abs(rr_std_ms)) + n_beats) + 2.8020685) * 0.5926644"
16,0.17527558,"abs(log(((((quality_score - wav_wavelet_coef_kurtosis) * -0.43384603) + 2.763773) + n_beats) + abs(rr_std_ms)) * 0.5982761)"
17,0.1735475,"sqrt(abs(log(((abs(rr_std_ms) + (n_beats + ((quality_score - wav_wavelet_coef_kurtosis) * -0.3928865))) + 3.384135) * 0.43890718)))"
19,0.1732491,"log((heart_rate_bpm + abs(rr_std_ms)) + ((age + 3.136018) + (((age + quality_score) - wav_wavelet_coef_kurtosis) * -0.5065275))) * 0.55204666"
20,0.1714021,"abs(log((abs(rr_std_ms) + (((((age + quality_score) - wav_wavelet_coef_kurtosis) * -0.51855916) + age) + n_beats)) + 2.9453123)) * 0.57541895"
