Complexity,Loss,Equation
1,328.1816,"61.226562"
3,320.37076,"61.22079 - wav_wavelet_energy_d4"
4,319.37656,"exp(comp_sig_lempel_ziv_complexity) + 59.407806"
5,308.77332,"61.22079 - (wav_wavelet_energy_d4 * 4.4057393)"
6,292.9437,"(9.6782875 / exp(wav_wavelet_qrs_peak)) + 49.51012"
7,288.3377,"(comp_sig_lempel_ziv_complexity + (12.955291 - wav_wavelet_energy_d4)) * 4.7255096"
8,287.01056,"(9.520885 / exp(wav_wavelet_qrs_peak)) + (comp_sig_lempel_ziv_complexity + 49.70041)"
9,278.04184,"(((rr_std_ms + comp_sig_lempel_ziv_complexity) - wav_wavelet_energy_d4) + 15.465495) * 3.958531"
11,270.09445,"((((rr_std_ms + comp_sig_lempel_ziv_complexity) - wav_wavelet_energy_d4) + 17.27854) - wav_wavelet_coef_max) * 3.543152"
12,269.08026,"(abs(((comp_sig_lempel_ziv_complexity - wav_wavelet_coef_max) + rr_std_ms) + 16.861185) - wav_wavelet_energy_d4) * 3.6299388"
13,260.1721,"((((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) + (rr_std_ms - rr_mean_ms)) - wav_wavelet_coef_std) * 3.789347) + 61.220375"
14,259.35806,"abs(61.204426 + (((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) + ((rr_std_ms - rr_mean_ms) - wav_wavelet_coef_std)) * 3.8665605))"
15,257.35678,"(((comp_sig_lempel_ziv_complexity + ((rr_std_ms - wav_wavelet_energy_d4) - rr_mean_ms)) - wav_wavelet_coef_std) * 3.690147) + (61.221073 - snr_db)"
16,255.50308,"(62.22088 - square(snr_db)) + ((rr_std_ms + (((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) - rr_mean_ms) - wav_wavelet_coef_std)) * 3.742871)"
17,254.69806,"abs(square(snr_db) - ((((rr_std_ms + ((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) - rr_mean_ms)) - wav_wavelet_coef_std) * 3.82004) + 62.204556))"
18,253.1881,"((comp_sig_hjorth_activity + (((rr_std_ms + ((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) - rr_mean_ms)) - wav_wavelet_coef_std) * 3.8720193)) - square(snr_db)) - -62.220795"
19,250.97397,"((((abs(wav_wavelet_coef_min) + (rr_std_ms - rr_mean_ms)) + ((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) - wav_wavelet_coef_std)) * 3.6545942) + 60.265312) - square(snr_db)"
21,249.24202,"comp_sig_hjorth_complexity + ((((((abs(wav_wavelet_coef_min) + ((rr_std_ms - rr_mean_ms) + comp_sig_lempel_ziv_complexity)) - wav_wavelet_energy_d4) - wav_wavelet_coef_std) * 3.6401386) + 59.824917) - square(snr_db))"
23,248.52014,"((comp_sig_hjorth_complexity + (3.6401386 * ((((rr_std_ms - rr_mean_ms) + comp_sig_lempel_ziv_complexity) + (abs(wav_wavelet_coef_min) - wav_wavelet_energy_d4)) - wav_wavelet_coef_std))) + (59.824917 - square(snr_db))) - wav_wavelet_coef_max"
24,248.37715,"comp_sig_hjorth_complexity + ((((abs(wav_wavelet_coef_min) + ((rr_std_ms - rr_mean_ms) + ((comp_sig_lempel_ziv_complexity - wav_wavelet_energy_d4) - wav_wavelet_coef_std))) * 3.6545942) + 60.265312) - abs(square(snr_db) - rr_std_ms))"
25,247.66718,"(((((rr_std_ms - rr_mean_ms) + (comp_sig_lempel_ziv_complexity - wav_wavelet_coef_std)) - wav_wavelet_energy_d4) * 3.718914) + (abs(wav_wavelet_energy_d4 + (wav_wavelet_coef_min + wav_wavelet_coef_min)) + (comp_sig_hjorth_complexity + 60.741043))) - square(snr_db)"
