Complexity,Loss,Equation
1,325.65726,"60.664062"
3,317.1784,"comp_sig_bzip2_ratio + 60.67163"
4,314.12924,"59.02085 + exp(comp_sig_bzip2_ratio)"
5,303.19492,"(comp_sig_bzip2_ratio * 4.738884) + 60.67091"
6,293.5404,"exp(2.058553 - wav_wavelet_coef_max) + 50.642025"
8,285.1948,"abs((comp_sig_bzip2_ratio + (10.983577 - wav_wavelet_qrs_variability)) * 5.502035)"
9,282.5199,"((5.872649 + comp_sig_bzip2_ratio) * (comp_sig_kolmogorov_estimate - wav_wavelet_qrs_variability)) + 59.5889"
10,282.1288,"abs((((comp_sig_bzip2_ratio + 10.857316) - wav_wavelet_qrs_variability) * 5.5659456) + rr_std_ms)"
11,278.70404,"((comp_sig_kolmogorov_estimate - (2.079238 * wav_wavelet_qrs_peak)) * (5.469127 + comp_sig_bzip2_ratio)) + 59.224056"
13,275.76566,"(rr_std_ms + ((comp_sig_kolmogorov_estimate - (2.0406513 * wav_wavelet_qrs_peak)) * (5.523084 + comp_sig_bzip2_ratio))) + 59.23364"
15,273.86505,"(rr_std_ms + 59.255127) + (((comp_sig_kolmogorov_estimate - (wav_wavelet_qrs_peak * 1.9523144)) * (comp_sig_bzip2_ratio + 5.5165215)) - wav_wavelet_energy_d5)"
16,272.27628,"((wav_wavelet_qrs_energy_ratio + comp_sig_kolmogorov_estimate) + ((abs(50.206394 - (wav_wavelet_qrs_peak / 0.21155867)) - wav_wavelet_energy_d5) + -28.94017)) * 2.8287861"
18,270.38748,"((abs((wav_wavelet_qrs_peak / 0.20171323) - ((wav_wavelet_qrs_energy_ratio + 53.40284) + (comp_sig_kolmogorov_estimate + rr_std_ms))) + -30.49502) - wav_wavelet_energy_d5) * 2.627199"
20,268.46243,"(((abs((((rr_std_ms + wav_wavelet_qrs_energy_ratio) + comp_sig_kolmogorov_estimate) - (wav_wavelet_qrs_peak / 0.16124645)) + 63.67636) + comp_sig_kolmogorov_estimate) + -33.969803) - wav_wavelet_energy_d5) * 2.0256996"
21,267.98032,"(((((wav_wavelet_qrs_energy_ratio + (comp_sig_kolmogorov_estimate + abs(65.510345 - (wav_wavelet_qrs_peak / 0.158534)))) + -36.62855) + comp_sig_kolmogorov_estimate) - wav_wavelet_energy_d5) + abs(rr_std_ms)) * 2.0414543"
22,266.7771,"heart_rate_bpm + ((((comp_sig_kolmogorov_estimate + -40.82259) + abs((rr_std_ms - (wav_wavelet_qrs_peak / 0.1454994)) + (69.68146 + (comp_sig_lempel_ziv_complexity + wav_wavelet_qrs_energy_ratio)))) - wav_wavelet_energy_d5) * 2.083817)"
23,266.75305,"(((abs((((comp_sig_kolmogorov_estimate + 65.74788) + rr_std_ms) - (wav_wavelet_qrs_peak / 0.15821674)) + wav_wavelet_qrs_energy_ratio) + -36.124245) + (comp_sig_kolmogorov_estimate - wav_wavelet_energy_d5)) + abs(heart_rate_bpm)) * 1.9822505"
24,266.168,"(heart_rate_bpm + ((((comp_sig_kolmogorov_estimate - wav_wavelet_energy_d5) + -36.59879) + abs((wav_wavelet_qrs_energy_ratio + ((comp_sig_kolmogorov_estimate + rr_std_ms) - (wav_wavelet_qrs_peak / 0.15310214))) + 67.46116)) * 1.9497439)) - comp_rr_shannon_entropy"
25,265.5211,"(1.9843675 * (((abs(heart_rate_bpm) + (comp_sig_kolmogorov_estimate - wav_wavelet_energy_d5)) + -36.11809) + abs(rr_std_ms + ((comp_sig_kolmogorov_estimate - (wav_wavelet_qrs_peak / 0.15764853)) + (65.70303 + wav_wavelet_qrs_energy_ratio))))) - comp_rr_shannon_entropy"
