Complexity,Loss,Equation
1,0.24999994,"0.5001145"
4,0.2452127,"square(sex) - 0.49985301"
5,0.23154631,"0.5001181 - (heart_rate_bpm * -0.13584903)"
6,0.2290221,"square(snr_db * -0.30942214) + 0.4043758"
7,0.20373063,"((snr_db - heart_rate_bpm) * -0.17127535) - -0.5001176"
9,0.19978389,"((rr_std_ms - (snr_db - heart_rate_bpm)) * 0.13775177) - -0.500118"
10,0.19566225,"((abs(rr_std_ms) - (snr_db - heart_rate_bpm)) * 0.14931719) - -0.41178647"
11,0.19451123,"(((snr_db - heart_rate_bpm) - sqrt(abs(rr_std_ms))) * -0.17522633) - -0.37951848"
12,0.1901669,"sqrt(abs((heart_rate_bpm + abs((1.2247343 - snr_db) + rr_std_ms)) * -0.2076234))"
13,0.18814653,"sqrt(abs(rr_std_ms + abs(abs(snr_db - 1.2038643) + heart_rate_bpm))) * 0.4700741"
14,0.1865849,"log(sqrt((abs(abs(snr_db + -1.1228378) + heart_rate_bpm) + 1.0630766) + abs(rr_std_ms)))"
15,0.18337785,"log(sqrt((1.5502189 + abs((abs(-1.3679407 + snr_db) + heart_rate_bpm) + age)) + heart_rate_std))"
16,0.18179476,"log(sqrt(abs(abs((age + abs(snr_db + -1.2872481)) + heart_rate_bpm) + heart_rate_std) + 1.4470761))"
17,0.18085876,"log(sqrt(abs(rr_std_ms) + (1.018422 + abs(age + abs(abs(snr_db + -1.0954038) + heart_rate_bpm)))))"
18,0.17803411,"log(sqrt(1.2825729 + abs(abs(age + ((heart_rate_bpm + abs(snr_db + -1.070113)) * 1.3895626)) + rr_std_ms)))"
19,0.1762841,"log(sqrt(1.2906171 + abs(rr_std_ms + abs(age + abs((abs(snr_db + -0.9946689) + heart_rate_bpm) * 1.4394951)))))"
20,0.1754727,"log(sqrt(abs(rr_std_ms + (wav_wavelet_energy_d1 + abs(age + (1.4412941 * (abs(snr_db + -1.0445164) + heart_rate_bpm))))) + 1.2946503))"
