index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.5000017,0.24999999,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,7,0,7,0.49
1,4,log(wav_wavelet_coef_kurtosis - -2.045343),0.21607836,0.6396361732205379,0.5918367346938775,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.625,0.6666666666666666,5,4,3,2,0.5518367346938775
2,5,(wav_wavelet_coef_kurtosis * 0.27388018) - -0.5000006,0.17499086,0.4590412752309966,0.5918367346938775,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.625,0.6666666666666666,5,4,3,2,0.5418367346938775
3,6,log(wav_wavelet_coef_kurtosis - -2.2844968) * 0.6791249,0.16625573,0.5150760312559006,0.5918367346938775,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.625,0.6666666666666666,5,4,3,2,0.5318367346938775
4,7,(wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - 2.617424)) * 0.19102761,0.1476431,0.5220228713793814,0.836734693877551,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.75,0.8,6,5,2,1,0.766734693877551
5,8,log(((wav_wavelet_coef_kurtosis - wav_wavelet_coef_min) * 0.3494007) - -1.7409008),0.14089614,0.5772768878745851,0.836734693877551,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.75,0.8,6,5,2,1,0.756734693877551
6,10,(wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.8299378 - age))) * 0.22937502,0.12763233,0.5172711270835656,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.8183673469387756
7,11,(wav_wavelet_coef_kurtosis + abs(abs(age - -1.7374053) - wav_wavelet_coef_min)) * 0.23562472,0.12676917,0.5095620860308189,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.8083673469387755
8,12,((wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(age - -1.0434128))) * 0.21017599) + 0.23181795,0.11334606,0.5404840446040354,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.7983673469387755
9,13,(abs(wav_wavelet_energy_approx) + (wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.2969754 - age)))) * 0.21831223,0.10459277,0.43003156354332495,0.9387755102040817,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.8087755102040817
10,14,(sqrt(abs(wav_wavelet_energy_approx)) + (wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.1697773 - age)))) * 0.22499537,0.10388985,0.4708246061511041,0.9591836734693878,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.8191836734693878
11,15,abs((0.96118325 + log(abs((wav_wavelet_coef_min - abs(age - -1.5513364)) - wav_wavelet_coef_kurtosis))) * -0.39915946),0.10037589,0.6556300831538746,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.7683673469387755
12,16,square(-0.5960549 + sqrt(abs(1.1971612 + log(abs((wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - age)) - -1.5365438))))),0.09998932,0.5956557096726366,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.7583673469387755
13,17,square(-0.78861535 + sqrt(abs(1.8155252 + log(abs(wav_wavelet_coef_kurtosis - (wav_wavelet_coef_min - abs(-1.5180401 - age))))))),0.09071948,0.618028550110282,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.7483673469387755
14,19,square(sqrt(abs(log(abs(((wav_wavelet_coef_min - abs(-1.0527706 - age)) - 0.48426923) - wav_wavelet_coef_kurtosis)) + 1.1893494)) + -0.59451544),0.082529865,0.5937641119641526,0.9183673469387755,0.9285714285714286,1.0,0.8571428571428571,0.875,0.9333333333333333,7,6,1,0,0.7283673469387755
