index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.49999222,0.24999997,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,1234,0,1234,0.49
1,4,0.48037836 / abs(sex),0.24711104,0.5606835849168451,0.5474068071312804,0.5474068071312804,0.6361426256077796,0.4586709886547812,0.5402615278733655,0.5842947525120953,785,566,668,449,0.5074068071312804
2,5,log(sqrt(2.861383 - wav_wavelet_coef_min)),0.23840943,0.5285010571270988,0.5988122850936066,0.5923824959481362,0.46029173419773095,0.7244732576985413,0.6255506607929515,0.5303454715219421,568,894,340,666,0.5488122850936066
3,6,abs(age * -0.21888113) - -0.32729062,0.23191807,0.5191518852584686,0.6424141490823218,0.609805510534846,0.4821717990275527,0.7374392220421394,0.6474428726877041,0.552717138875987,595,910,324,639,0.5824141490823218
4,7,log(square(age) + 2.449189) * 0.4241189,0.23181802,0.49563220005834885,0.6424141490823218,0.609805510534846,0.4821717990275527,0.7374392220421394,0.6474428726877041,0.552717138875987,595,910,324,639,0.5724141490823218
5,8,((square(age) + 5.0523243) - wav_wavelet_coef_min) * 0.08261366,0.22613114,0.4874350719396271,0.6649423807885175,0.6276337115072933,0.49513776337115073,0.7601296596434359,0.6736493936052922,0.5707613264829519,611,938,296,623,0.5849423807885176
6,9,log((square(age) + 2.821323) - wav_wavelet_coef_min) * 0.3994434,0.22487834,0.5192630604732326,0.6649423807885175,0.6276337115072933,0.49513776337115073,0.7601296596434359,0.6736493936052922,0.5707613264829519,611,938,296,623,0.5749423807885176
7,10,(square(age) + (comp_sig_hjorth_complexity + (5.200239 - wav_wavelet_coef_min))) * 0.080644146,0.22374026,0.4666055154838975,0.6786596145410033,0.6341166936790924,0.5680713128038898,0.700162074554295,0.6545284780578898,0.6082429501084599,701,864,370,533,0.5786596145410033
8,11,log(1.5111935 + (((comp_sig_hjorth_complexity + square(age)) - wav_wavelet_coef_min) * 0.16342774)),0.22217835,0.4743193218080975,0.6786596145410033,0.6341166936790924,0.5680713128038898,0.700162074554295,0.6545284780578898,0.6082429501084599,701,864,370,533,0.5686596145410033
9,12,log((((square(age) + abs(comp_sig_hjorth_complexity)) - wav_wavelet_coef_min) * 0.1507279) + 1.4386889),0.22183767,0.4929252682905456,0.6755179424674734,0.6292544570502431,0.5048622366288493,0.7536466774716369,0.6720604099244876,0.5765849143914854,623,930,304,611,0.5555179424674734
10,13,sqrt(abs(((abs(comp_sig_hjorth_complexity) + square(age)) - wav_wavelet_coef_min) * 0.10395744) + 0.10563167),0.22159009,0.4924175893382275,0.6640453230852481,0.6292544570502431,0.5048622366288493,0.7536466774716369,0.6720604099244876,0.5765849143914854,623,930,304,611,0.5340453230852481
11,14,sqrt(((square(age - -0.20395131) + (abs(comp_sig_hjorth_complexity) - wav_wavelet_coef_min)) * 0.099746644) + 0.11873489),0.22080487,0.49590243038442905,0.6831980960836799,0.6377633711507293,0.5591572123176661,0.7163695299837926,0.6634615384615384,0.6068601583113457,690,884,350,544,0.5431980960836799
12,15,sqrt(abs((square(age - -0.23807655) + (abs(comp_sig_hjorth_complexity) - wav_wavelet_coef_min)) * 0.11185789) + 0.08981201),0.2202517,0.49582096985532265,0.6728924397605394,0.6389789303079416,0.5364667747163695,0.7414910858995137,0.6748216106014271,0.5977426636568849,662,915,319,572,0.5228924397605393
13,16,log(sqrt(abs((abs(comp_sig_hjorth_complexity) + (square(age - -0.2379047) - wav_wavelet_coef_min)) / 1.5210171) + 1.8018168)),0.21987945,0.5000695252299405,0.6728839026081658,0.6389789303079416,0.5364667747163695,0.7414910858995137,0.6748216106014271,0.5977426636568849,662,915,319,572,0.5128839026081657
14,18,sqrt((((comp_sig_hjorth_complexity * 0.44227442) + abs((square(age - -0.18825503) + 0.42845124) - wav_wavelet_coef_min)) + 0.67571837) * 0.12834643),0.21945915,0.5106172379955433,0.6841739582703992,0.6434359805510534,0.5162074554294975,0.7706645056726094,0.6923913043478261,0.5914577530176416,637,951,283,597,0.5041739582703992
15,20,sqrt((((abs((wav_wavelet_coef_min / 0.7086453) - 0.82201844) + 0.61198384) + (comp_sig_hjorth_complexity * 0.52416116)) + square(-0.15728164 - age)) * 0.107992016),0.21931161,0.5195701153600457,0.6907265510692455,0.6422204213938412,0.5089141004862237,0.7755267423014587,0.6939226519337016,0.587190275829827,628,957,277,606,0.4907265510692455
