index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.49988434,0.24999994,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,281,0,281,0.49
1,4,log(heart_rate_std - -1.7573436),0.24349093,0.6627883524508689,0.591608515596307,0.6405693950177936,0.302491103202847,0.9786476868327402,0.9340659340659341,0.45698924731182794,85,275,6,196,0.551608515596307
2,5,(n_beats * 0.2312775) + 0.5000016,0.19651257,0.686292289688524,0.7505160775572752,0.7366548042704626,0.49110320284697506,0.9822064056939501,0.965034965034965,0.6509433962264151,138,276,5,143,0.7005160775572752
3,6,-1.542787 + sqrt(n_beats - -4.226125),0.19616081,0.7003381800427124,0.7505160775572752,0.7366548042704626,0.49110320284697506,0.9822064056939501,0.965034965034965,0.6509433962264151,138,276,5,143,0.6905160775572752
4,7,((n_beats + age) * 0.19126394) + 0.49999985,0.18145204,0.5338154766578173,0.8220513924595687,0.7544483985765125,0.708185053380783,0.800711743772242,0.7803921568627451,0.7425373134328358,199,225,56,82,0.7520513924595686
5,8,log((0.4421311 * (n_beats + rmssd)) - -1.7161552),0.17902787,0.6113553421508342,0.8022821392839502,0.802491103202847,0.6548042704626335,0.9501779359430605,0.9292929292929293,0.7682672233820459,184,267,14,97,0.7222821392839502
6,9,0.56622344 * sqrt(abs(n_beats + (rr_std_ms - -0.83961004))),0.17209546,0.5458469790571079,0.8144147110598903,0.802491103202847,0.7046263345195729,0.900355871886121,0.8761061946902655,0.7810650887573964,198,253,28,83,0.7244147110598903
7,10,sqrt((abs(n_beats) + (n_beats + abs(rr_std_ms))) * 0.24437243),0.16719538,0.6295426757728919,0.8174795152037082,0.7900355871886121,0.604982206405694,0.9750889679715302,0.96045197740113,0.74235807860262,170,274,7,111,0.7174795152037082
8,11,(0.2554255 * (((age + rr_std_ms) / 2.1675625) + n_beats)) - -0.5,0.16453528,0.5475467602782459,0.8584111143475892,0.7900355871886121,0.6832740213523132,0.896797153024911,0.8687782805429864,0.7649402390438247,192,252,29,89,0.7484111143475892
9,12,log((0.47069153 * (n_beats + ((rr_std_ms + age) / 2.1573558))) - -1.7244664),0.16011585,0.5941319530399818,0.8584997657071212,0.791814946619217,0.6868327402135231,0.896797153024911,0.8693693693693694,0.7673956262425448,193,252,29,88,0.7384997657071212
10,13,abs(log(((((rr_std_ms + age) / 1.9862815) + n_beats) * 0.50653046) - -1.7131429)),0.15758482,0.5886747909874414,0.8625270703258572,0.7953736654804271,0.693950177935943,0.896797153024911,0.8705357142857143,0.7722772277227723,195,252,29,86,0.7325270703258572
11,14,log(((0.45812047 * n_beats) + ((age + (rr_std_ms + comp_sig_hjorth_complexity)) * 0.1782192)) - -1.7289884),0.15552612,0.5817211978364497,0.8722913843543015,0.8096085409252669,0.7188612099644128,0.900355871886121,0.8782608695652174,0.7906066536203522,202,253,28,79,0.7322913843543015
12,15,abs(log(((n_beats + (((rr_std_ms - snr_db) + age) / 2.7084162)) * 0.53222424) - -1.7184758)),0.15245241,0.5602566015552284,0.876673294411165,0.802491103202847,0.7402135231316725,0.8647686832740213,0.8455284552845529,0.7893738140417458,208,243,38,73,0.726673294411165
13,17,abs(log(((((rr_std_ms - (snr_db - age)) / (2.9443989 + heart_rate_bpm)) + n_beats) * 0.48535028) - -1.6976264)),0.14933087,0.5840093485067377,0.8865895821988072,0.8202846975088968,0.7580071174377224,0.8825622775800712,0.8658536585365854,0.8083491461100569,213,248,33,68,0.7165895821988072
14,18,abs(log(square(-1.2856846 - ((n_beats + ((rr_std_ms - (snr_db - age)) / (heart_rate_bpm + 2.7311244))) * 0.1889898)))),0.14877279,0.5108126757349076,0.8896163929028256,0.8238434163701067,0.8185053380782918,0.8291814946619217,0.8273381294964028,0.8228980322003577,230,233,48,51,0.7096163929028256
15,19,abs(log(((n_beats + (((rr_std_ms * 1.6007899) - (snr_db - age)) / (heart_rate_bpm + 3.105629))) * 0.4950846) - -1.6973909)),0.14764886,0.570993605581968,0.8834994490951229,0.8220640569395018,0.7580071174377224,0.8861209964412812,0.8693877551020408,0.8098859315589354,213,249,32,68,0.693499449095123
