index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.49999365,0.24999997,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,127,0,127,0.49
1,4,square(sex * 0.7071563),0.24976726,0.5120238979515062,0.5196850393700787,0.5196850393700787,0.48031496062992124,0.5590551181102362,0.5213675213675214,0.5,61,71,56,66,0.4796850393700787
2,5,1.4088631 / (quality_score + 3.135653),0.21852633,0.4831540332653027,0.6465372930745861,0.6417322834645669,0.5590551181102362,0.7244094488188977,0.6698113207547169,0.6094420600858369,71,92,35,56,0.596537293074586
3,7,(3.4014485 - snr_db) / (wav_wavelet_energy_d4 + 7.0633693),0.214039,0.48925629616826877,0.64498728997458,0.6338582677165354,0.5590551181102362,0.7086614173228346,0.6574074074074074,0.6042553191489362,71,90,37,56,0.57498728997458
4,8,log(((heart_rate_std - snr_db) * 0.26016575) - -1.6848936),0.21035263,0.4646217577363059,0.7267034534069068,0.7125984251968503,0.7401574803149606,0.6850393700787402,0.7014925373134329,0.7203065134099617,94,87,40,33,0.6467034534069068
5,9,(4.2015805 - ((quality_score - rmssd) - age)) / 8.403154,0.20367938,0.6099236199013358,0.7138694277388554,0.6732283464566929,0.4330708661417323,0.9133858267716536,0.8333333333333334,0.5699481865284974,55,116,11,72,0.6238694277388555
6,10,sqrt(abs(((snr_db + -0.47740373) - abs(rmssd)) * 0.22470069)),0.20246878,0.39302288389942386,0.6839233678467356,0.65748031496063,0.7874015748031497,0.5275590551181102,0.625,0.6968641114982579,100,67,60,27,0.5839233678467356
7,11,((age + 4.6751165) - (snr_db - rmssd)) / (wav_wavelet_energy_d4 + 9.577338),0.19961764,0.4962867253504473,0.7074834149668299,0.6653543307086615,0.5433070866141733,0.7874015748031497,0.71875,0.6188340807174888,69,100,27,58,0.5974834149668299
8,12,abs(((quality_score + (-4.1684923 - rmssd)) - age) / (wav_wavelet_coef_skewness + 8.593333)),0.19956008,0.5968158822735727,0.7143654287308574,0.6889763779527559,0.4645669291338583,0.9133858267716536,0.8428571428571429,0.5989847715736041,59,116,11,68,0.5943654287308574
9,13,(((rmssd + 5.369797) - wav_wavelet_coef_skewness) - (snr_db - age)) / (wav_wavelet_energy_d4 + 10.931701),0.19759543,0.5661073825501443,0.7028954057908116,0.6811023622047244,0.49606299212598426,0.8661417322834646,0.7875,0.6086956521739131,63,110,17,64,0.5728954057908116
10,14,sqrt(abs(((-0.47716632 - abs(rmssd)) + snr_db) * 0.22074026)) + (age * 0.08315317),0.19556613,0.5076993137205632,0.693037386074772,0.6614173228346457,0.5984251968503937,0.7244094488188977,0.6846846846846847,0.6386554621848739,76,92,35,51,0.553037386074772
11,16,sqrt((abs(snr_db + -0.9069009) + abs(-0.41734865 - rmssd)) * 0.17221734) + (age * 0.101639606),0.19293708,0.4716392158650957,0.7270754541509084,0.7047244094488189,0.7244094488188977,0.6850393700787402,0.696969696969697,0.7104247104247104,92,87,40,35,0.5670754541509083
12,18,(sqrt(square((quality_score * 0.56464964) + -0.61678386) + abs(-0.36998102 - rmssd)) / 2.1358366) + (age * 0.10332072),0.1883929,0.4383077093585984,0.7428854857709715,0.7086614173228346,0.7322834645669292,0.6850393700787402,0.6992481203007519,0.7153846153846154,93,87,40,34,0.5628854857709715
13,20,(sqrt(abs(-0.3702573 - rmssd) + (0.3000881 * square(-1.072669 + quality_score))) + (0.15870056 * (age - wav_wavelet_coef_skewness))) / 2.1048024,0.1864425,0.5377236278307813,0.7434434868869737,0.7007874015748031,0.6141732283464567,0.7874015748031497,0.7428571428571429,0.6724137931034483,78,100,27,49,0.5434434868869737
