index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.68466973,0.21589305,inf,0.5,0.3147953830010493,0.0,1.0,0.0,0.0,0,300,0,653,0.49
1,4,square(sex) - 0.3153284,0.2155112,0.6962810986806991,0.5364624808575804,0.5351521511017838,0.5329249617151608,0.54,0.7160493827160493,0.611062335381914,348,162,138,305,0.49646248085758043
2,5,(n_beats * 0.13303299) + 0.68468964,0.19819792,0.6771548814073456,0.6842087799897907,0.6065057712486883,0.5712098009188361,0.6833333333333333,0.7970085470085471,0.6654772524531668,373,205,95,280,0.6342087799897906
3,6,log(2.002172 + (n_beats * 0.2920517)),0.19783957,0.6859365949341377,0.6842087799897907,0.6065057712486883,0.5712098009188361,0.6833333333333333,0.7970085470085471,0.6654772524531668,373,205,95,280,0.6242087799897906
4,7,((n_beats + age) * 0.113457985) + 0.684681,0.19156285,0.7087760902311768,0.7349412965798877,0.614900314795383,0.5068912710566615,0.85,0.8803191489361702,0.6433430515063168,331,255,45,322,0.6649412965798878
5,8,log(sqrt(abs(rr_std_ms) + (n_beats + 3.4790328))),0.18931271,0.6756998944704158,0.7285579377233282,0.633788037775446,0.552833078101072,0.81,0.8636363636363636,0.6741363211951448,361,243,57,292,0.6485579377233283
6,9,log((abs(rr_std_ms) + 3.1428933) + n_beats) * 0.54260796,0.18861678,0.6838811416211761,0.7285604900459418,0.633788037775446,0.552833078101072,0.81,0.8636363636363636,0.6741363211951448,361,243,57,292,0.6385604900459418
7,10,log(sqrt((n_beats + abs(rr_std_ms + rmssd)) + 3.1204565)),0.18784726,0.6735528582767515,0.733221031138336,0.6537250786988458,0.5911179173047473,0.79,0.8596881959910914,0.7005444646098004,386,237,63,267,0.633221031138336
8,11,log(sqrt(((quality_score - age) * -0.5434) + (n_beats + 4.0602684))),0.18455812,0.6649795654750842,0.7457274119448698,0.6935991605456453,0.6814701378254211,0.72,0.8412098298676749,0.7529610829103215,445,216,84,208,0.6357274119448698
9,12,log(sqrt(((n_beats + abs(rr_std_ms)) + 3.5311885) + (age * 0.5537994))),0.18283895,0.6379770706886335,0.7670903522205207,0.7061909758656874,0.7013782542113323,0.7166666666666667,0.8434622467771639,0.7658862876254181,458,215,85,195,0.6470903522205207
10,13,log(n_beats + (((quality_score * -0.45371935) + 3.1327322) + abs(rr_std_ms))) * 0.5475369,0.18201908,0.6983670976086596,0.7424604389994895,0.6474291710388248,0.5635528330781011,0.83,0.8782816229116945,0.6865671641791045,368,249,51,285,0.6124604389994895
11,14,log(sqrt((abs(rr_std_ms) + (n_beats + 3.548681)) + ((quality_score - age) * -0.49276128))),0.17757156,0.6445574381297041,0.7712965798876978,0.7061909758656874,0.7029096477794793,0.7133333333333334,0.8422018348623853,0.7662771285475793,459,214,86,194,0.6312965798876978
12,15,log(((((quality_score - wav_wavelet_coef_kurtosis) * -0.4220913) + abs(rr_std_ms)) + n_beats) + 2.8020685) * 0.5926644,0.17545272,0.6978159704794733,0.7798366513527311,0.6663168940188877,0.5696784073506891,0.8766666666666667,0.9095354523227384,0.7005649717514124,372,263,37,281,0.629836651352731
13,16,abs(log(((((quality_score - wav_wavelet_coef_kurtosis) * -0.43384603) + 2.763773) + n_beats) + abs(rr_std_ms)) * 0.5982761),0.17527558,0.715539842111447,0.7796988259315978,0.6495278069254984,0.5252679938744257,0.92,0.9346049046321526,0.6725490196078432,343,276,24,310,0.6196988259315978
14,17,sqrt(abs(log(((abs(rr_std_ms) + (n_beats + ((quality_score - wav_wavelet_coef_kurtosis) * -0.3928865))) + 3.384135) * 0.43890718))),0.1735475,0.7164492965946445,0.7804747320061256,0.6694648478488983,0.5742725880551302,0.8766666666666667,0.9101941747572816,0.704225352112676,375,263,37,278,0.6104747320061256
15,19,log((heart_rate_bpm + abs(rr_std_ms)) + ((age + 3.136018) + (((age + quality_score) - wav_wavelet_coef_kurtosis) * -0.5065275))) * 0.55204666,0.1732491,0.6621516153573568,0.7867023991832567,0.7145855194123819,0.6983154670750383,0.75,0.8587570621468926,0.7702702702702703,456,225,75,197,0.5967023991832567
16,20,abs(log((abs(rr_std_ms) + (((((age + quality_score) - wav_wavelet_coef_kurtosis) * -0.51855916) + age) + n_beats)) + 2.9453123)) * 0.57541895,0.1714021,0.6397656559735756,0.7957682491066872,0.7229800629590766,0.7228177641653905,0.7233333333333334,0.8504504504504504,0.7814569536423841,472,217,83,181,0.5957682491066871
