index,complexity,equation,loss,test_r2,test_mae,test_rmse,test_mse,test_mean_error,test_std_error,score
0,1,60.528015,276.15582,-0.0007638832469429868,13.590400944947966,16.9003392278615,285.62146601679433,0.4669206730446498,16.89388798062417,-0.005763883246942987
1,3,comp_sig_bzip2_ratio + 60.52797,268.44388,0.028882998320719278,13.386607817535735,16.648127333216035,277.16014370297484,0.45935861423594176,16.641788767031688,0.013882998320719278
2,4,exp(comp_sig_kolmogorov_estimate) + 58.772026,265.3439,0.04648250173266566,13.23736348344784,16.49658100005956,272.13718469152604,0.4652642878162408,16.490018612300258,0.02648250173266566
3,5,60.528072 - (comp_sig_bzip2_ratio / -0.22955385),257.18115,0.07647042623535427,13.034398931399549,16.235101710401327,263.57852754707613,0.43423128779034864,16.229293599407836,0.05147042623535427
4,6,68.91288 - (6.3330746 / exp(comp_sig_hjorth_complexity)),253.47229,0.07116968164588722,13.114833223401867,16.281627017786633,265.0913783463197,0.33463016680304086,16.27818789048047,0.04116968164588722
5,7,60.528442 + ((comp_sig_hjorth_complexity + comp_sig_bzip2_ratio) / 0.33071405),251.55815,0.07904802772902553,13.030783625396156,16.212429527532787,262.842871185217,0.413536230210464,16.207154561227593,0.044048027729025524
6,8,((wav_wavelet_energy_d3 - 7.47493) / exp(comp_sig_hjorth_complexity)) + 70.02166,244.464,0.10698359746621067,12.848898698233667,15.964647292493725,254.8699631737272,0.36420821217001054,15.96049233425821,0.06698359746621066
7,9,(comp_sig_hjorth_complexity + ((comp_sig_lempel_ziv_complexity + 19.821491) - wav_wavelet_coef_max)) * 3.0536005,244.4631,0.10523366422063907,12.91797287886554,15.980281604565398,255.36940016121125,0.3581498196691015,15.976267676396832,0.06023366422063907
8,10,((wav_wavelet_energy_d3 - -16.69132) * 4.3759947) - (9.451707 / exp(comp_sig_hjorth_complexity)),239.82005,0.1277294877847448,12.653435513486894,15.778118217348878,248.94901448063655,0.377160370010846,15.773609749703136,0.0777294877847448
9,12,(abs((25.64445 / (heart_rate_std + 0.9766526)) - 27.200094) + comp_sig_bzip2_ratio) + 50.131577,235.45183,0.13675595022376685,12.5751925154753,15.696268058022524,246.37283094929816,0.5608682385565014,15.68624422123654,0.07675595022376686
10,14,abs(26.09439 - (24.493616 / (heart_rate_std + 0.97271186))) + ((comp_sig_bzip2_ratio + 12.70366) * 3.9754267),226.6344,0.17376166226223788,12.268173604073757,15.35614772731222,235.81127302303622,0.5312679951222926,15.3469549859376,0.10376166226223787
11,16,(((comp_sig_bzip2_ratio - wav_wavelet_coef_std) + 18.371988) * 2.7567472) + abs(26.298668 - (24.669298 / (heart_rate_std + 0.97815096))),223.04144,0.17918278381835973,12.313046169856765,15.305687381561022,234.26406622207628,0.47217079458482236,15.29840256245133,0.09918278381835972
12,18,abs((22.321297 / (heart_rate_std + 0.96039623)) - 24.138582) + (((comp_sig_hjorth_complexity + (comp_sig_lempel_ziv_complexity + 18.858068)) - wav_wavelet_coef_max) * 2.711676),217.5186,0.19630454394299068,12.176451830593297,15.145212339005619,229.37745679356806,0.4647525705445192,15.138079859801914,0.10630454394299069
13,20,((((19.003326 - wav_wavelet_coef_max) + comp_sig_lempel_ziv_complexity) + comp_sig_hjorth_complexity) * 2.6954575) + (abs(23.063772 - (21.26611 / (heart_rate_std + 0.9492247))) - rr_mean_ms),216.08945,0.20448792514434933,12.08751274897513,15.067909329333585,227.0418915570181,0.45616039287172755,15.061002929851425,0.10448792514434932
14,22,((((comp_sig_hjorth_complexity + (comp_sig_lempel_ziv_complexity + (19.863777 - wav_wavelet_coef_max))) * 2.579322) + abs(23.001547 - (21.430593 / (heart_rate_std + 0.95490354)))) - rr_mean_ms) - quality_score,214.61964,0.20790457422504205,12.05657226220833,15.035516888959432,226.0667681181843,0.4662945337139271,15.028284583611425,0.09790457422504205
15,23,(((comp_sig_lempel_ziv_complexity - wav_wavelet_coef_max) + (comp_sig_hjorth_complexity + 19.70251)) * 2.5924597) + abs((abs(23.293842 - (21.79406 / (heart_rate_std + 0.95738363))) - rr_mean_ms) - quality_score),214.58456,0.20806971710917155,12.058994545040573,15.033949440154734,226.01963576912885,0.46508753910166006,15.026753786167564,0.09306971710917154
16,24,(abs(((wav_wavelet_coef_max + 20.601141) / (0.9308858 + heart_rate_std)) - 23.21987) + ((((comp_sig_hjorth_complexity + comp_sig_lempel_ziv_complexity) + (17.276714 - wav_wavelet_coef_max)) * 2.971657) - quality_score)) - rr_mean_ms,213.57361,0.21674738036981012,11.941853986966883,14.951354478007758,223.54300072704262,0.4851823796182274,14.94348014304401,0.09674738036981012
17,25,((comp_sig_hjorth_complexity + ((comp_sig_lempel_ziv_complexity + 17.436028) - wav_wavelet_coef_max)) * 2.9376948) + abs((abs(((wav_wavelet_coef_max + 21.004448) / (heart_rate_std + 0.9443476)) - 22.858341) + heart_rate_bpm) - quality_score),213.57054,0.21546082776729203,11.969470015260285,14.963628813888207,223.91018727982538,0.4882364908885037,14.95566155035578,0.09046082776729203
