index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.5001145,0.24999994,inf,0.5,0.5004721435316336,0.0,1.0,0.0,0.0,0,530,0,529,0.49
1,4,square(sex) - 0.49985301,0.2452127,0.5988083682846044,0.5571013303848485,0.5571293673276676,0.5274102079395085,0.5867924528301887,0.5602409638554217,0.5433300876338851,279,311,219,250,0.5171013303848485
2,5,0.5001181 - (heart_rate_bpm * -0.13584903),0.23154631,0.6840536637946937,0.6038217355637194,0.5892351274787535,0.1833648393194707,0.9943396226415094,0.97,0.30842607313195547,97,527,3,432,0.5538217355637194
3,6,square(snr_db * -0.30942214) + 0.4043758,0.2290221,0.600959222580157,0.6085422834112066,0.5967894239848914,0.2608695652173913,0.9320754716981132,0.7931034482758621,0.39260312944523473,138,494,36,391,0.5485422834112066
4,7,((snr_db - heart_rate_bpm) * -0.17127535) - -0.5001176,0.20373063,0.5435085019421337,0.7306737525412847,0.6893295561850803,0.5103969754253308,0.8679245283018868,0.7941176470588235,0.6214039125431531,270,460,70,259,0.6606737525412847
5,9,((rr_std_ms - (snr_db - heart_rate_bpm)) * 0.13775177) - -0.500118,0.19978389,0.5392076185657546,0.7494846096229983,0.7176581680830972,0.5387523629489603,0.8962264150943396,0.8382352941176471,0.6559263521288837,285,475,55,244,0.6594846096229984
6,10,((abs(rr_std_ms) - (snr_db - heart_rate_bpm)) * 0.14931719) - -0.41178647,0.19566225,0.4835692765301174,0.7713699753896637,0.7271010387157696,0.6408317580340265,0.8132075471698114,0.773972602739726,0.7011375387797312,339,431,99,190,0.6713699753896637
7,11,(((snr_db - heart_rate_bpm) - sqrt(abs(rr_std_ms))) * -0.17522633) - -0.37951848,0.19451123,0.5175789297643965,0.7627527909548097,0.71671388101983,0.5879017013232514,0.8452830188679246,0.7913486005089059,0.6746203904555315,311,448,82,218,0.6527527909548098
8,12,sqrt(abs((heart_rate_bpm + abs((1.2247343 - snr_db) + rr_std_ms)) * -0.2076234)),0.1901669,0.5596431795487791,0.7545636123693691,0.7252124645892352,0.5803402646502835,0.869811320754717,0.8164893617021277,0.6784530386740332,307,461,69,222,0.6345636123693691
9,13,sqrt(abs(rr_std_ms + abs(abs(snr_db - 1.2038643) + heart_rate_bpm))) * 0.4700741,0.18814653,0.5733425869046188,0.7578806577023219,0.7252124645892352,0.5633270321361059,0.8867924528301887,0.8324022346368715,0.6719278466741826,298,470,60,231,0.6278806577023219
10,14,log(sqrt((abs(abs(snr_db + -1.1228378) + heart_rate_bpm) + 1.0630766) + abs(rr_std_ms))),0.1865849,0.5058138511088545,0.771972750294254,0.7271010387157696,0.6427221172022685,0.8113207547169812,0.7727272727272727,0.7017543859649122,340,430,100,189,0.631972750294254
11,15,log(sqrt((1.5502189 + abs((abs(-1.3679407 + snr_db) + heart_rate_bpm) + age)) + heart_rate_std)),0.18337785,0.54987850484756,0.7890038163854907,0.7271010387157696,0.6030245746691871,0.8509433962264151,0.8015075376884422,0.6882416396979504,319,451,79,210,0.6390038163854906
12,16,log(sqrt(abs(abs((age + abs(snr_db + -1.2872481)) + heart_rate_bpm) + heart_rate_std) + 1.4470761)),0.18179476,0.5181529551000434,0.7936833470057425,0.7280453257790368,0.6143667296786389,0.8415094339622642,0.7946210268948656,0.6929637526652452,325,446,84,204,0.6336833470057425
13,17,log(sqrt(abs(rr_std_ms) + (1.018422 + abs(age + abs(abs(snr_db + -1.0954038) + heart_rate_bpm))))),0.18085876,0.5575840236680075,0.8011948496629453,0.7308781869688386,0.5860113421550095,0.8754716981132076,0.824468085106383,0.6850828729281768,310,464,66,219,0.6311948496629453
14,18,log(sqrt(1.2825729 + abs(abs(age + ((heart_rate_bpm + abs(snr_db + -1.070113)) * 1.3895626)) + rr_std_ms))),0.17803411,0.544638301711416,0.7825159610514677,0.7318224740321058,0.6351606805293005,0.8283018867924529,0.7868852459016393,0.702928870292887,336,439,91,193,0.6025159610514677
15,19,log(sqrt(1.2906171 + abs(rr_std_ms + abs(age + abs((abs(snr_db + -0.9946689) + heart_rate_bpm) * 1.4394951))))),0.1762841,0.5503811525968043,0.790070264293612,0.7337110481586402,0.6219281663516069,0.8452830188679246,0.8004866180048662,0.7,329,448,82,200,0.600070264293612
16,20,log(sqrt(abs(rr_std_ms + (wav_wavelet_energy_d1 + abs(age + (1.4412941 * (abs(snr_db + -1.0445164) + heart_rate_bpm))))) + 1.2946503)),0.1754727,0.54393680155741,0.7824410600278204,0.7299338999055713,0.6294896030245747,0.8301886792452831,0.7872340425531915,0.6995798319327731,333,440,90,196,0.5824410600278205
