index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.50002027,0.24999994,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,47,0,47,0.49
1,2,sqrt(0.25003442),0.24999993,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,47,0,47,0.48
2,4,square(sex) - 0.49998933,0.24592137,0.5659447359340695,0.5957446808510639,0.5957446808510638,0.6382978723404256,0.5531914893617021,0.5882352941176471,0.6122448979591837,30,26,21,17,0.5557446808510639
3,5,(wav_wavelet_coef_std * 0.13568589) + 0.50000507,0.23159145,0.5617471207112835,0.5672249886826618,0.5957446808510638,0.3617021276595745,0.8297872340425532,0.68,0.4722222222222222,17,39,8,30,0.5172249886826618
4,6,square(0.7015097 - (wav_wavelet_coef_std * -0.0895059)),0.23159003,0.5509174913386657,0.5672249886826618,0.5957446808510638,0.3617021276595745,0.8297872340425532,0.68,0.4722222222222222,17,39,8,30,0.5072249886826619
5,7,log(sqrt(age + (wav_wavelet_coef_std - -2.9818454))),0.20899148,0.49358714618732047,0.6641014033499321,0.6702127659574468,0.723404255319149,0.6170212765957447,0.6538461538461539,0.6868686868686869,34,29,18,13,0.5941014033499321
6,8,log(wav_wavelet_coef_std + (age - -3.0107124)) * 0.4902369,0.20892312,0.4891944150055536,0.6641014033499321,0.6702127659574468,0.723404255319149,0.6170212765957447,0.6538461538461539,0.6868686868686869,34,29,18,13,0.5841014033499321
7,9,(wav_wavelet_coef_std * 0.18182974) + log(sqrt(age - -2.8070185)),0.20556588,0.46019536116333454,0.6754187415119963,0.6808510638297872,0.7021276595744681,0.6595744680851063,0.673469387755102,0.6875,33,31,16,14,0.5854187415119964
8,10,(wav_wavelet_coef_std * 0.188729) + (log(age - -2.6672788) * 0.53751904),0.20509082,0.4661242870178506,0.6822091444092349,0.6914893617021277,0.7021276595744681,0.6808510638297872,0.6875,0.6947368421052632,33,32,15,14,0.5822091444092349
9,11,(wav_wavelet_coef_std * 0.1927029) + abs(log(age - -2.5188956) * 0.568829),0.20416318,0.5004542585259271,0.6808510638297872,0.6702127659574468,0.6170212765957447,0.723404255319149,0.6904761904761905,0.651685393258427,29,34,13,18,0.5708510638297872
10,12,(wav_wavelet_coef_std * 0.19098149) + abs(log(sqrt((age - -2.1907907) / 0.75364226))),0.20335934,0.5094340902252128,0.6763241285649615,0.6702127659574468,0.6170212765957447,0.723404255319149,0.6904761904761905,0.651685393258427,29,34,13,18,0.5563241285649615
11,13,abs(log(age + (wav_wavelet_coef_std - (-2.7671816 - (-0.3935898 / sex))))) * 0.53510725,0.2005775,0.43614764880583123,0.702127659574468,0.6914893617021277,0.8723404255319149,0.5106382978723404,0.640625,0.7387387387387387,41,24,23,6,0.572127659574468
12,14,0.53958344 * (log(age - (-2.6733866 - (-0.31343588 * sex))) + (0.33574897 * wav_wavelet_coef_std)),0.1994768,0.4408361441786733,0.7270258035310094,0.723404255319149,0.8723404255319149,0.574468085106383,0.6721311475409836,0.7592592592592593,41,27,20,6,0.5870258035310094
13,15,abs(((wav_wavelet_coef_std * 0.3314786) + log(age - (-2.500817 - (sex * -0.33801758)))) * 0.57510895),0.19716685,0.4173427118121355,0.7378904481665912,0.7340425531914894,0.8936170212765957,0.574468085106383,0.6774193548387096,0.7706422018348624,42,27,20,5,0.5878904481665912
14,17,abs(((log(age - (-2.2396548 - (sex * -0.32619414))) * -0.4818415) + -0.14407086) + (wav_wavelet_coef_std * -0.18934414)),0.1968557,0.4292083068841672,0.7356269805341784,0.7340425531914894,0.8936170212765957,0.574468085106383,0.6774193548387096,0.7706422018348624,42,27,20,5,0.5656269805341784
15,18,abs((log(abs((-1.485046 - (sex * -0.25086477)) - age)) * 0.267547) + ((wav_wavelet_coef_std * 0.19272266) + 0.44387808)),0.19422257,0.43646533036312435,0.7184246265278407,0.723404255319149,0.8723404255319149,0.574468085106383,0.6721311475409836,0.7592592592592593,41,27,20,6,0.5384246265278407
16,20,abs((log(abs(age - (-1.4826025 - (sex * -0.25322226)))) * 0.2981086) + ((wav_wavelet_coef_std * 0.20202446) + 0.5338124)) + -0.10076583,0.19350384,0.4270435294707991,0.7279311905839745,0.7127659574468085,0.8723404255319149,0.5531914893617021,0.6612903225806451,0.7522935779816514,41,26,21,6,0.5279311905839745
