index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.5001578,0.24999996,inf,0.5,0.5003282994090611,0.0,1.0,0.0,0.0,0,762,0,761,0.49
1,4,log(age + 1.9493464),0.24502787,0.5765486329743605,0.7625077170872695,0.7058437294812869,0.8173455978975033,0.594488188976378,0.6680988184747583,0.735224586288416,622,453,309,139,0.7225077170872695
2,5,log(sqrt(age + 2.7040558)),0.21241674,0.4650167691085631,0.7625077170872695,0.7058437294812869,0.8173455978975033,0.594488188976378,0.6680988184747583,0.735224586288416,622,453,309,139,0.7125077170872695
3,6,0.65985966 * log(2.257311 + age),0.20522808,0.48574548222614683,0.7625077170872695,0.7058437294812869,0.8173455978975033,0.594488188976378,0.6680988184747583,0.735224586288416,622,453,309,139,0.7025077170872696
4,7,(3.2833776 - (rr_mean_ms + wav_wavelet_qrs_peak)) * 0.1523072,0.20134449,0.504887781647468,0.743761661855343,0.6835193696651346,0.6399474375821288,0.7270341207349081,0.7007194244604317,0.6689560439560439,487,554,208,274,0.673761661855343
5,8,2.3135877 - abs((age * -0.44086197) + 1.7743077),0.19627993,0.46457081723255644,0.7624956456658424,0.7058437294812869,0.8173455978975033,0.594488188976378,0.6680988184747583,0.735224586288416,622,453,309,139,0.6824956456658424
6,9,((wav_wavelet_qrs_peak + rr_mean_ms) - (3.598722 - quality_score)) * -0.13895898,0.18338786,0.48991274674486246,0.7913868683628738,0.7327642810242941,0.7135348226018396,0.7519685039370079,0.7418032786885246,0.7273945077026122,543,573,189,218,0.7013868683628738
7,10,abs(((3.3303509 - quality_score) - (rr_mean_ms + wav_wavelet_qrs_peak)) * 0.14787075),0.18205634,0.48164778096361005,0.7916231233250903,0.7334208798424163,0.7148488830486203,0.7519685039370079,0.7421555252387448,0.7282463186077643,544,573,189,217,0.6916231233250903
8,11,((wav_wavelet_qrs_peak + rr_mean_ms) - ((age + 4.2946076) - quality_score)) * -0.116446584,0.17592241,0.503495953182197,0.8303034065551268,0.7636244254760342,0.7069645203679369,0.8202099737532809,0.797037037037037,0.7493036211699164,538,625,137,223,0.7203034065551268
9,12,(abs((rr_mean_ms + quality_score) - (4.1382947 - wav_wavelet_qrs_peak)) + age) * 0.119939625,0.175346,0.4998511796349248,0.8310673550825858,0.7636244254760342,0.7069645203679369,0.8202099737532809,0.797037037037037,0.7493036211699164,538,625,137,223,0.7110673550825858
10,13,(-2.1487367 / (age + 3.0040762)) + (((9.821242 - quality_score) - rr_mean_ms) * 0.1284472),0.17300689,0.47475842652633415,0.8374893512818125,0.7557452396585687,0.7752956636005256,0.7362204724409449,0.7458912768647282,0.7603092783505154,590,561,201,171,0.7074893512818125
11,14,((heart_rate_bpm + ((age + 4.3572445) - wav_wavelet_qrs_peak)) - (quality_score + abs(age))) * 0.13007316,0.16716953,0.5234440692014457,0.8352009546769861,0.7623112278397899,0.709592641261498,0.8149606299212598,0.7929515418502202,0.7489597780859917,540,621,141,221,0.6952009546769861
12,15,(-2.294593 / (age + 3.3810985)) + ((heart_rate_bpm + ((10.995814 - quality_score) - wav_wavelet_qrs_peak)) * 0.11033292),0.16550754,0.5006380967561501,0.8484001917631518,0.7760998030203545,0.7621550591327201,0.7900262467191601,0.7837837837837838,0.7728181212524984,580,602,160,181,0.6984001917631518
13,16,(((abs(age + -3.890198) / -0.3678554) + (15.385411 - wav_wavelet_qrs_peak)) + (heart_rate_bpm - quality_score)) * 0.10966353,0.16176544,0.5040882793037986,0.8515767000872592,0.7774130006565988,0.7634691195795007,0.7913385826771654,0.7851351351351351,0.7741505662891406,581,603,159,180,0.6915767000872591
14,17,(heart_rate_bpm + (abs(((abs(age + -1.641649) / -0.3342995) - wav_wavelet_qrs_peak) + 9.695688) - quality_score)) * 0.10974196,0.16084957,0.44342950631169764,0.8514835776933928,0.7734734077478661,0.8370565045992115,0.7099737532808399,0.7424242424242424,0.7869054972205065,637,541,221,124,0.6814835776933927
15,18,abs((abs(((abs(age + -1.6416264) / -0.33462098) - wav_wavelet_qrs_peak) + 9.695717) + (heart_rate_bpm - quality_score)) * 0.109709),0.16061099,0.44322925820314435,0.8513352716587168,0.7734734077478661,0.8383705650459922,0.7086614173228346,0.7418604651162791,0.7871684145589143,638,540,222,123,0.6713352716587169
16,19,(age + abs(heart_rate_bpm + ((9.509575 - abs(wav_wavelet_qrs_peak + ((age + -2.4302173) / -0.49917838))) - quality_score))) * 0.112341255,0.15999998,0.43859910024736515,0.8508662107118345,0.7734734077478661,0.835742444152431,0.7112860892388452,0.7429906542056075,0.7866419294990723,636,542,220,125,0.6608662107118346
17,20,abs((abs(((heart_rate_bpm + 9.509974) - abs(((age + -2.4351366) / -0.49724874) + wav_wavelet_qrs_peak)) - quality_score) + age) * 0.11289046),0.15976255,0.4379524833904434,0.8504437109618853,0.7734734077478661,0.835742444152431,0.7112860892388452,0.7429906542056075,0.7866419294990723,636,542,220,125,0.6504437109618852
