index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.4998407,0.24999997,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,641,0,641,0.49
1,5,log(sqrt(age - -2.7431746)),0.21928391,0.470906954295847,0.7361778714518314,0.6786271450858035,0.8003120124804992,0.5569422776911076,0.64366373902133,0.713490959666203,513,357,284,128,0.6861778714518314
2,6,log(age + 2.381823) * 0.61215633,0.21595764,0.4835704883269293,0.7361778714518314,0.6786271450858035,0.8003120124804992,0.5569422776911076,0.64366373902133,0.713490959666203,513,357,284,128,0.6761778714518314
3,7,log(sqrt(age + (heart_rate_bpm - -3.009709))),0.20500351,0.5579698831433395,0.7550762872948614,0.6879875195007801,0.5741029641185648,0.8018720748829953,0.7434343434343434,0.647887323943662,368,514,127,273,0.6850762872948615
4,8,abs(log(sqrt((age + heart_rate_bpm) - -2.9719725))),0.2044,0.5517499801911367,0.7548012684937975,0.6879875195007801,0.5741029641185648,0.8018720748829953,0.7434343434343434,0.647887323943662,368,514,127,273,0.6748012684937975
5,9,log(sqrt(heart_rate_bpm + (wav_wavelet_coef_kurtosis + (age - -2.9948766)))),0.19020991,0.5024478604513922,0.812485853568308,0.7355694227769111,0.7441497659906396,0.7269890795631825,0.7315950920245399,0.7378190255220418,477,466,175,164,0.7224858535683081
6,10,abs(log(sqrt((age + 2.9766557) + (heart_rate_bpm + wav_wavelet_coef_kurtosis)))),0.18994506,0.4991015082035971,0.8091028789357502,0.733229329173167,0.7441497659906396,0.7223088923556942,0.7282442748091603,0.7361111111111112,477,463,178,164,0.7091028789357502
7,11,log(sqrt((heart_rate_bpm + (age + comp_rr_hjorth_activity)) + (wav_wavelet_coef_kurtosis - -3.0869904))),0.1860011,0.5279823910317268,0.826954763057917,0.749609984399376,0.6801872074882995,0.8190327613104524,0.7898550724637681,0.7309304274937133,436,525,116,205,0.716954763057917
8,12,abs(log(sqrt(((comp_rr_hjorth_activity - -3.0619013) + age) + (heart_rate_bpm + wav_wavelet_coef_kurtosis)))),0.1854211,0.5235995323288669,0.8237616244119343,0.7472698907956318,0.6801872074882995,0.8143525741029641,0.7855855855855856,0.7290969899665551,436,522,119,205,0.7037616244119344
9,13,abs(log((wav_wavelet_coef_kurtosis + (heart_rate_bpm - -3.023052)) + (comp_rr_hjorth_activity + age))) * 0.51425326,0.1852686,0.5314665066895405,0.8227418644327675,0.7472698907956318,0.6801872074882995,0.8143525741029641,0.7855855855855856,0.7290969899665551,436,522,119,205,0.6927418644327675
10,14,abs(abs(log(0.12488152 * ((heart_rate_bpm + (wav_wavelet_coef_kurtosis - -4.173194)) + age))) + -1.2178731),0.18313098,0.5010052480482874,0.8093121852799229,0.734009360374415,0.7425897035881436,0.7254290171606864,0.7300613496932515,0.7362722351121423,476,465,176,165,0.6693121852799229
11,16,abs(abs(log(((heart_rate_bpm - -4.4227023) + ((age + comp_rr_hjorth_activity) + wav_wavelet_coef_kurtosis)) * 0.11827994)) + -1.2300391),0.18025517,0.5329097291157466,0.8226858871546749,0.7472698907956318,0.6755070202808112,0.8190327613104524,0.7887067395264117,0.7277310924369748,433,525,116,208,0.6626858871546749
12,18,abs(abs(log((age + (((comp_rr_hjorth_activity + wav_wavelet_coef_kurtosis) + (heart_rate_bpm - -5.4093113)) * 0.6273051)) * 0.14268114)) + -1.3034871),0.1773692,0.5314354289158545,0.8287947118508767,0.7550702028081123,0.7051482059282371,0.8049921996879875,0.7833622183708839,0.7422003284072249,452,516,125,189,0.6487947118508768
13,20,abs(abs(log((age + ((((heart_rate_bpm + wav_wavelet_coef_kurtosis) + comp_rr_hjorth_activity) - -5.4073625) * 0.6121776)) * 0.14527097)) + -1.3922994) - 0.08182663,0.17694923,0.5000477900297564,0.8294907771349855,0.7542901716068643,0.7550702028081123,0.7535101404056163,0.7538940809968847,0.7544816835541699,484,483,158,157,0.6294907771349856
