feature,f_statistic,p_value,max_cohens_d,is_significant,n_significant_pairs,used_nonparametric
comp_sig_compression_ratio_mean,2714.6589043408326,0.0,0.6172101781990231,True,10,True
wav_wavelet_coef_kurtosis,7127.157804981164,0.0,0.8783830502259816,True,15,True
comp_rr_shannon_entropy,5401.393089734809,0.0,1.1705499107897606,True,9,True
comp_sig_bzip2_ratio,2872.533153131658,0.0,0.6221875207938941,True,10,True
comp_rr_approx_entropy,1700.3361005468237,0.0,0.6635599034493848,True,8,True
comp_sig_kolmogorov_estimate,3045.520447737889,0.0,0.6301996732488596,True,11,True
comp_sig_hjorth_activity,1758.4997303560933,0.0,1.2526615416120255,True,13,True
wav_wavelet_total_energy,1676.0387100265561,0.0,1.0770448337801877,True,13,True
comp_sig_gzip_ratio,2245.632968650478,0.0,0.5631628943887461,True,9,True
comp_sig_lzma_ratio,3045.520447737889,0.0,0.6301996732488596,True,11,True
wav_wavelet_coef_mean_abs,4330.346672540176,0.0,1.0675472648599602,True,12,True
wav_wavelet_coef_std,1926.7382488634905,0.0,1.243149981236545,True,14,True
wav_wavelet_qrs_variability,1297.832363185103,1.8833599355035133e-278,0.6285871923016154,True,11,True
wav_wavelet_coef_min,1034.8376288580057,1.7228584536836993e-221,1.6583987008186063,True,15,True
comp_rr_permutation_entropy,1022.7366536244388,4.2183219263452366e-220,0.5019939358768492,True,8,True
comp_rr_hjorth_activity,932.412674870342,1.5800431547137066e-200,0.7141084259090721,True,9,True
wav_wavelet_coef_max,886.4677558024232,2.2581603258214245e-189,1.6498045541246973,True,13,True
wav_wavelet_energy_approx,793.1364481135392,3.53257118773484e-169,0.536059936296736,True,9,True
wav_wavelet_qrs_peak,756.5255985645,2.9331134623164763e-161,0.4694045933031745,True,10,True
comp_sig_lempel_ziv_complexity,673.6977264270454,2.3869668610066626e-143,0.622439220435786,True,9,True
comp_rr_lempel_ziv_complexity,577.3467572554288,1.2378076841450091e-123,0.36753577919322855,True,8,True
wav_wavelet_coef_skewness,536.4228280235117,1.0933750504056717e-113,0.3608875495267352,True,10,True
wav_wavelet_energy_d5,514.5817247240112,5.682350700035892e-109,0.6905381676787551,True,11,True
wav_wavelet_energy_d1,401.51367523267925,1.3996627561683655e-84,0.47125878040505403,True,9,True
comp_sig_hjorth_mobility,392.02580334624844,1.5516308717132774e-82,0.3097114655675685,True,7,True
wav_wavelet_energy_d2,352.9946571544988,3.965891420671492e-74,0.5016591076523497,True,9,True
comp_sig_hjorth_complexity,269.5409267918155,3.5116561754872884e-56,0.5498907236514032,True,9,True
wav_wavelet_energy_d4,246.44315309404854,3.1858046045952236e-51,0.42926255747130077,True,8,True
wav_wavelet_energy_d6,214.44153843974877,2.3038551526973434e-44,0.43247979602288295,True,9,True
wav_wavelet_energy_concentration,189.6707134267289,4.5940742194713724e-39,0.4112518380257304,True,9,True
wav_wavelet_energy_entropy,189.6707134267289,4.5940742194713724e-39,0.4112518380257304,True,9,True
wav_wavelet_qrs_energy_ratio,132.67845052996122,6.427502401645638e-27,0.25917275663830286,True,7,True
wav_wavelet_energy_d3,132.67845052996122,6.427502401645638e-27,0.25917275663830286,True,7,True
comp_rr_hjorth_complexity,113.77826576940424,1.137523957850858e-23,0.13077146022481953,True,5,True
comp_rr_sample_entropy,100.50388465466851,7.683676487394583e-21,0.6796432140011418,True,5,True
comp_rr_hjorth_mobility,18.529939730346086,0.0009719241899798092,0.08067130277590567,True,2,True
wav_wavelet_n_levels,,,0.0,False,0,False
wav_wavelet_signal_length,,,0.0,False,0,False
hrv_hrv_spectral_n_intervals,,,0.0,False,0,False
