feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
label_STTC,134150.00745985596,0.0,0.5328100875740454,3,4,3,0.20186162660809784,1,0.0,0.9835537608569149,1.0,0.661184586952305,1
diag_STTC,134150.00745985596,0.0,0.5336623691868705,3,3,1,0.1837659089247522,2,0.0,0.9851270508624028,0.9103558314306196,0.6318276274310075,2
diag_CD,30848.93980041981,0.0,0.5417193332775607,5,1,1,0.0950256908140019,3,0.0,1.0,0.4707466813318043,0.49024889377726816,3
label_CD,30848.93980041981,0.0,0.5410610576278394,5,2,3,0.08979616307659072,4,0.0,0.9987848400282512,0.44484018377066065,0.48120834126630396,4
label_NORM,11483.499393440785,0.0,0.39225365583426,7,5,5,0.0737186614676092,5,0.0,0.7240901916145588,0.36519403269611783,0.3630947414368922,5
diag_NORM,11483.499393440785,0.0,0.38965490964076555,7,6,6,0.05963303397239949,6,0.0,0.7192929727710458,0.29541540397954597,0.3382361255835306,6
label_OTHER,2150.576680561095,0.0,0.2127581436008672,10,8,8,0.04699089928589334,7,0.0,0.3927460781464418,0.23278767775473905,0.2085112519670603,7
diag_OTHER,2150.576680561095,0.0,0.20883544319408998,10,9,9,0.04030597389493057,8,0.0,0.3855048737702868,0.19967130242729186,0.1950587253991929,8
label_MI,inf,0.0,0.12090074395922779,1,20,11,0.030023167315327913,9,,0.223179673554833,0.148731424688339,0.18595554912158602,9
rr_mean_ms,2214.2455372733584,0.0,0.23119004570622748,9,7,7,0.02533136336360789,11,0.0,0.4267708968543913,0.1254887508302269,0.18408654922820608,10
diag_MI,inf,0.0,0.12348453473611576,1,19,10,0.025794982742184742,10,,0.22794928508273488,0.12778546955962136,0.17786737732117813,11
heart_rate_bpm,1614.400713190556,0.0,0.2087343460241433,12,10,12,0.018530320955071993,12,0.0,0.3853182509866121,0.09179714473938869,0.15903846524200027,12
n_beats,1557.4868606777723,0.0,0.19968498823075675,13,11,13,0.014820764809656842,13,0.0,0.36861336851798154,0.07342041703860071,0.14734459518552742,13
comp_rr_shannon_entropy,1254.7893735709565,0.0,0.19834565774222712,14,12,14,0.008719140717245109,17,0.0,0.3661409987754688,0.04319365133311243,0.13644488336952706,14
comp_rr_lempel_ziv_complexity,116.12981223572072,8.305224377831142e-122,0.19829213361866804,31,13,21,0.00025187358090531854,57,0.0,0.36604219461569243,0.0012477536475732254,0.12242998275442189,15
comp_rr_approx_entropy,397.62983157249494,0.0,0.19071350282811528,16,15,15,0.002965388454456313,21,0.0,0.35205223648608347,0.014690203899988558,0.12224748012869067,16
comp_rr_permutation_entropy,223.483755002099,4.097043994615696e-234,0.19125608281452156,19,14,16,0.0003529586107911851,54,0.0,0.35305382522969264,0.001748517619331548,0.11826744761634139,17
