index,complexity,equation,loss,test_r2,test_mae,test_rmse,test_mse,test_mean_error,test_std_error,score
0,1,61.226562,328.1816,-2.718975577442606e-05,14.973125664862522,18.08229464839584,326.9693797514049,-0.09428666854297342,18.082048826821037,-0.005027189755774426
1,3,61.22079 - wav_wavelet_energy_d4,320.37076,0.025801467955057777,14.779565393558585,17.847252706678034,318.52442917602644,-0.1029981446029088,17.846955498298158,0.010801467955057778
2,4,exp(comp_sig_lempel_ziv_complexity) + 59.407806,319.37656,0.028545113565903724,14.709139430873288,17.82210328393744,317.6273654633338,-0.09676058816339957,17.82184061346953,0.008545113565903723
3,5,61.22079 - (wav_wavelet_energy_d4 * 4.4057393),308.77332,0.0666596276539384,14.383977756552207,17.46898466624644,305.16542526955317,-0.11300923374163856,17.46861912638324,0.0416596276539384
4,6,(9.6782875 / exp(wav_wavelet_qrs_peak)) + 49.51012,292.9437,0.10908141381820657,14.062878050800057,17.06737171588323,291.29517728813084,-0.00027940392808395654,17.067371713596216,0.07908141381820658
5,7,(comp_sig_lempel_ziv_complexity + (12.955291 - wav_wavelet_energy_d4)) * 4.7255096,288.3377,0.1303752155093426,13.817999292144332,16.862174991916486,284.3329454580138,-0.07762632655799862,16.861996311571147,0.09537521550934261
6,8,(9.520885 / exp(wav_wavelet_qrs_peak)) + (comp_sig_lempel_ziv_complexity + 49.70041),287.01056,0.12671160087975253,13.92036163481239,16.897656721914238,285.5308026916534,0.0057109955823376555,16.897655756825646,0.08671160087975252
7,9,(((rr_std_ms + comp_sig_lempel_ziv_complexity) - wav_wavelet_energy_d4) + 15.465495) * 3.958531,278.04184,0.16618229905813986,13.452273793901067,16.511373167712772,272.6254438834653,-0.08367510822765585,16.51116114510813,0.12118229905813986
8,11,((((rr_std_ms + comp_sig_lempel_ziv_complexity) - wav_wavelet_energy_d4) + 17.27854) - wav_wavelet_coef_max) * 3.543152,270.09445,0.19282134345963187,13.216092603414925,16.245477182243715,263.9155288788012,-0.023208839768400297,16.245460603767373,0.13782134345963187
9,12,(abs(((comp_sig_lempel_ziv_complexity - wav_wavelet_coef_max) + rr_std_ms) + 16.861185) - wav_wavelet_energy_d4) * 3.6299388,269.08026,0.19335811389193325,13.205558679902543,16.240074696729657,263.74002615535886,-0.036743113437181674,16.240033131092243,0.13335811389193325
