index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.6736365,0.2198887,inf,0.5,0.32639951055368616,0.0,1.0,0.0,0.0,0,1067,0,2202,0.49
1,4,log(heart_rate_bpm + 2.2742636),0.16739815,0.8266456431572201,0.8678835888308065,0.7870908534720098,0.7007266121707538,0.9653233364573571,0.9765822784810126,0.8159703860391327,1543,1030,37,659,0.8278835888308065
2,5,(rr_mean_ms * -0.28863978) - -0.67352545,0.13657585,0.7439598086978851,0.8794437535272951,0.8039155705108596,0.7243415077202543,0.9681349578256795,0.9791282995702886,0.8326807622030802,1595,1033,34,607,0.829443753527295
3,6,abs((rr_mean_ms * -0.30866507) - -0.6661884),0.13441686,0.7415093632362103,0.8816693012316484,0.8045273784031814,0.7252497729336966,0.9681349578256795,0.9791538933169834,0.8332898512914166,1597,1033,34,605,0.8216693012316485
4,7,sqrt(abs((1.2808025 - rr_mean_ms) * -0.39558637)),0.1324519,0.7766592914181036,0.8848988778200273,0.8066687060263077,0.7284287011807448,0.9681349578256795,0.9792429792429792,0.8354166666666667,1604,1033,34,598,0.8148988778200272
5,8,0.7533011 * log(rr_std_ms + (heart_rate_bpm + 2.6958869)),0.10588906,0.5517243421701962,0.9462012467153063,0.9314775160599572,0.9405086285195277,0.9128397375820057,0.9570240295748613,0.9486944571690334,2071,974,93,131,0.8662012467153063
6,9,abs(log(rr_std_ms + (2.6096592 + heart_rate_bpm)) * 0.7751973),0.103835136,0.5349412771626898,0.9480377811089349,0.9314775160599572,0.9405086285195277,0.9128397375820057,0.9570240295748613,0.9486944571690334,2071,974,93,131,0.8580377811089349
7,10,sqrt(abs(log(heart_rate_bpm + (rr_std_ms + 2.470519)))) - 0.17422591,0.09670034,0.6117335074384633,0.9491473628387586,0.932089323952279,0.94141689373297,0.9128397375820057,0.9570637119113573,0.9491758241758241,2073,974,93,129,0.8491473628387586
8,11,log((rr_std_ms + 2.6682324) + (abs(heart_rate_bpm) / heart_rate_bpm)) * 0.78260314,0.078303024,0.531851132753337,0.9424796576682865,0.9308657081676354,0.9237057220708447,0.9456419868791003,0.9722753346080306,0.9473684210526315,2034,1009,58,168,0.8324796576682865
9,12,log(sqrt(((heart_rate_bpm / abs(heart_rate_bpm)) + rr_std_ms) + 2.0011015)) + 0.4568611,0.074852996,0.5903235666299307,0.9424796576682866,0.9308657081676354,0.9237057220708447,0.9456419868791003,0.9722753346080306,0.9473684210526315,2034,1009,58,168,0.8224796576682866
10,13,sqrt(abs(log(rr_std_ms + ((abs(heart_rate_bpm) / heart_rate_bpm) + 2.4594734)))) + -0.13615353,0.06855995,0.617346384981863,0.9531383670123523,0.9308657081676354,0.9237057220708447,0.9456419868791003,0.9722753346080306,0.9473684210526315,2034,1009,58,168,0.8231383670123523
11,14,abs(0.13985375 - sqrt(abs(log(((heart_rate_bpm / abs(heart_rate_bpm)) + rr_std_ms) + 2.4638302)))),0.06827389,0.615280992405628,0.952953649532205,0.9308657081676354,0.9237057220708447,0.9456419868791003,0.9722753346080306,0.9473684210526315,2034,1009,58,168,0.812953649532205
12,15,abs(square(-1.5599409 + log((3.1622374 + (abs(heart_rate_bpm) / heart_rate_bpm)) + rr_std_ms)) - 1.0472215),0.05897299,0.6156955867108644,0.9539381000658002,0.9296420923829918,0.9214350590372389,0.9465791940018744,0.9726749760306808,0.9463619402985075,2029,1010,57,173,0.8039381000658001
13,17,(square(abs(log((rr_std_ms + (heart_rate_bpm / abs(heart_rate_bpm))) + 2.434389)) + -1.4018295) - 1.8255981) * -0.56946146,0.058241468,0.6297318301065539,0.9542219861470402,0.9299479963291526,0.9223433242506812,0.9456419868791003,0.9722355193872666,0.9466324865998602,2031,1009,58,171,0.7842219861470402
14,18,abs((1.5413202 - square(abs(log(((abs(heart_rate_bpm) / heart_rate_bpm) + rr_std_ms) + 2.43392)) + -1.3356065)) * -0.6710858),0.056469206,0.608240105531727,0.9540423760626574,0.9302539002753135,0.9232515894641236,0.9447047797563262,0.9717973231357553,0.9469026548672567,2033,1008,59,169,0.7740423760626574
