index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.5000045,0.25,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,233,0,233,0.49
1,4,abs(0.44821712 / sex),0.23884167,0.5875318118426969,0.6630901287553649,0.6630901287553648,0.7982832618025751,0.5278969957081545,0.6283783783783784,0.7032136105860114,186,123,110,47,0.6230901287553648
2,5,(age + 2.158046) * 0.23168145,0.19631849,0.5517272117677846,0.7744294424284847,0.7145922746781116,0.6437768240343348,0.7854077253218884,0.75,0.6928406466512702,150,183,50,83,0.7244294424284846
3,6,abs((age + 1.5105731) * 0.31038314),0.1838336,0.5381830865535375,0.7809316804509201,0.7167381974248928,0.6652360515021459,0.7682403433476395,0.7416267942583732,0.7013574660633484,155,179,54,78,0.72093168045092
4,7,((heart_rate_bpm + age) * 0.17508738) + 0.50000066,0.17939104,0.5059233912883457,0.8199358986166627,0.7618025751072961,0.6652360515021459,0.8583690987124464,0.824468085106383,0.7363420427553444,155,200,33,78,0.7499358986166627
5,8,abs((age + 2.5378401) + heart_rate_bpm) * 0.19236185,0.176457,0.5303904193482291,0.8212805540717273,0.759656652360515,0.6180257510729614,0.9012875536480687,0.8622754491017964,0.72,144,210,23,89,0.7412805540717273
6,9,abs(((age + abs(n_beats)) - -1.281918) * 0.23705864),0.17298016,0.49627448329240953,0.8152756543682882,0.7489270386266095,0.6652360515021459,0.8326180257510729,0.7989690721649485,0.7259953161592506,155,194,39,78,0.7252756543682882
7,10,(heart_rate_bpm * 0.11854925) + abs((age * 0.27156737) + 0.4780404),0.17102198,0.4981363055785795,0.8235830462893035,0.7532188841201717,0.6995708154506438,0.8068669527896996,0.7836538461538461,0.7392290249433107,163,188,45,70,0.7235830462893035
8,11,abs((abs(heart_rate_bpm + 0.39868593) + (age - -1.4422827)) * 0.22399622),0.16863787,0.47378979388658143,0.8373979995947614,0.7725321888412017,0.7167381974248928,0.8283261802575107,0.8067632850241546,0.759090909090909,167,193,40,66,0.7273979995947614
9,12,(abs(age - -1.6912462) * 0.27720806) + ((heart_rate_bpm - snr_db) * 0.115633704),0.1641116,0.4648662986476415,0.8359888743576047,0.7703862660944206,0.7424892703862661,0.7982832618025751,0.7863636363636364,0.7637969094922737,173,186,47,60,0.7159888743576047
10,13,abs(-1.2579299 - (age + abs(-1.0672141 - (heart_rate_bpm - snr_db)))) * 0.19530815,0.16235119,0.5292025948632847,0.8301497540938312,0.7660944206008584,0.630901287553648,0.9012875536480687,0.8647058823529412,0.7295285359801489,147,210,23,86,0.7001497540938312
11,14,((age + abs((snr_db / -1.7262062) + (heart_rate_bpm + 0.9247704))) * 0.19448021) - -0.3015044,0.16143127,0.46669817800265284,0.8406675385437199,0.7832618025751072,0.7296137339055794,0.8369098712446352,0.8173076923076923,0.7709750566893424,170,195,38,63,0.7006675385437199
12,15,abs(abs((snr_db / -1.7512255) + (heart_rate_bpm + 0.8717477)) + (age - -1.3416369)) * 0.2106762,0.15773563,0.4484072920208357,0.8408701578588664,0.776824034334764,0.7381974248927039,0.8154506437768241,0.8,0.7678571428571429,172,190,43,61,0.6908701578588664
13,16,abs((abs(abs(heart_rate_bpm + 0.9370776) + (snr_db / -1.6559725)) + (age - -1.30237)) * -0.2084573),0.15746903,0.45355582161990904,0.8432279098896647,0.7811158798283262,0.7253218884120172,0.8369098712446352,0.8164251207729468,0.7681818181818182,169,195,38,64,0.6832279098896646
14,18,((abs((heart_rate_bpm + (snr_db / -1.7953452)) + 0.8759911) + ((sex / -2.7167068) + age)) - -1.6554614) * 0.18966815,0.15677173,0.5153784374836238,0.8701025990532153,0.7982832618025751,0.7124463519313304,0.8841201716738197,0.8601036269430051,0.7793427230046949,166,206,27,67,0.6901025990532152
15,19,((sex / -2.95341) + abs(abs((snr_db / -1.8303697) + (heart_rate_bpm - -0.813)) + (age - -1.3982648))) * 0.2088391,0.1528831,0.4948882027630032,0.8732339884691191,0.7918454935622318,0.7124463519313304,0.871244635193133,0.8469387755102041,0.7738927738927739,166,203,30,67,0.6832339884691192
16,20,((sex / -2.9543092) + abs(age + (abs((snr_db / -1.8316771) + abs(-0.806005 - heart_rate_bpm)) - -1.3943862))) * 0.20837644,0.15269308,0.5111081247344116,0.8757022601263609,0.7939914163090128,0.6909871244635193,0.8969957081545065,0.8702702702702703,0.7703349282296651,161,209,24,72,0.6757022601263609
