index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.5000039,0.25,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,1858,0,1858,0.49
1,5,(0.18597373 * age) + 0.5000055,0.21541177,0.5690807559243989,0.7248392602437196,0.6789558665231432,0.5694294940796556,0.7884822389666308,0.7291523087525844,0.6394681172559685,1058,1465,393,800,0.6748392602437195
2,6,square((age * 0.17023589) + 0.68123126),0.20955281,0.5542223172212548,0.7248392602437196,0.6789558665231432,0.5694294940796556,0.7884822389666308,0.7291523087525844,0.6394681172559685,1058,1465,393,800,0.6648392602437196
3,7,((heart_rate_bpm + 2.913759) + age) * 0.17159936,0.18683894,0.5148200460553372,0.7870871719883527,0.7319698600645855,0.6307857911733046,0.8331539289558665,0.7908232118758435,0.7017964071856287,1172,1548,310,686,0.7170871719883527
4,8,abs(heart_rate_bpm + (age + 2.6478722)) * 0.18532611,0.1855092,0.5067262868419603,0.7871503207842964,0.7319698600645855,0.6307857911733046,0.8331539289558665,0.7908232118758435,0.7017964071856287,1172,1548,310,686,0.7071503207842964
5,9,abs((abs(heart_rate_bpm + 2.4052203) + age) * 0.19926989),0.184738,0.49649872728906785,0.789687280210326,0.7319698600645855,0.6307857911733046,0.8331539289558665,0.7908232118758435,0.7017964071856287,1172,1548,310,686,0.699687280210326
6,10,0.36203837 + ((abs(heart_rate_bpm + 0.63980997) + age) * 0.18394585),0.18070756,0.49226864270047155,0.8031049509814713,0.7413885898815931,0.6792249730893434,0.8035522066738429,0.775660725261217,0.7242467718794835,1262,1493,365,596,0.7031049509814713
7,11,(abs(age + 1.7455671) + abs(heart_rate_bpm + 0.58627385)) * 0.19674128,0.17848253,0.4868285409560098,0.810920918009689,0.7448869752421959,0.6851453175457481,0.8046286329386437,0.7781173594132029,0.728677733257012,1273,1495,363,585,0.700920918009689
8,12,0.46230325 * sqrt(age + (abs(n_beats + 0.36905965) + abs(age))),0.17700432,0.5067769660452558,0.8016561495919662,0.7524219590958019,0.7007534983853606,0.8040904198062433,0.7815126050420168,0.738933030646992,1302,1494,364,556,0.6816561495919662
9,14,sqrt((((age + (abs(age) + heart_rate_bpm)) + abs(heart_rate_bpm)) * 0.17370805) + 0.05222282),0.17605335,0.4919137138986278,0.8020839971681532,0.7510764262648009,0.6959095801937567,0.806243272335845,0.7822141560798548,0.7365422956422671,1293,1498,360,565,0.6620839971681531
10,15,((abs(heart_rate_bpm + 0.582205) + abs(age + 1.8133004)) - (wav_wavelet_coef_min * 0.30646265)) * 0.19287534,0.17503566,0.5245525518504898,0.8208462865611252,0.7572658772874058,0.6426264800861141,0.8719052744886975,0.8337988826815642,0.7258358662613982,1194,1620,238,664,0.6708462865611252
11,16,(abs(0.5832018 + heart_rate_bpm) + abs(abs(age + 1.829605) - (0.3136859 * wav_wavelet_coef_min))) * 0.191928,0.17497644,0.5154240618992393,0.8208995864622886,0.7575349838536061,0.6544671689989235,0.8606027987082885,0.8244067796610169,0.7296729672967297,1216,1599,259,642,0.6608995864622885
12,17,sqrt(abs((age + (((heart_rate_bpm + abs(age)) + abs(n_beats)) - (wav_wavelet_coef_kurtosis * -0.51743305))) * 0.20402956)),0.17074136,0.5137793050593724,0.8241630467150459,0.7682992465016146,0.6776103336921421,0.8589881593110872,0.8277449046679816,0.7451908848771825,1259,1596,262,599,0.6541630467150459
13,18,sqrt(abs((wav_wavelet_coef_kurtosis * -0.49550852) - ((age + abs(age)) + abs(abs(n_beats) + heart_rate_bpm)))) * 0.44727546,0.17023815,0.5005676692665082,0.8271220602497448,0.7672228202368138,0.6964477933261571,0.8379978471474704,0.8112852664576803,0.7494931943237765,1294,1557,301,564,0.6471220602497447
14,19,sqrt(abs((abs(heart_rate_bpm + abs(n_beats)) + (abs((wav_wavelet_coef_kurtosis * -0.5095792) - abs(age)) + age)) * 0.19650973)),0.16983625,0.5312758819002733,0.8274670612404278,0.7666846071044133,0.670075349838536,0.8632938643702907,0.8305537024683122,0.741733690795353,1245,1604,254,613,0.6374670612404278
15,20,sqrt(abs((abs(abs(age) - (wav_wavelet_coef_kurtosis * -0.51040006)) + ((age + abs(n_beats)) + heart_rate_bpm)) * 0.193122) + 0.013416001),0.16971964,0.5172892009838846,0.8243475686554868,0.7672228202368138,0.6792249730893434,0.8552206673842842,0.8242978445460484,0.7447624668043671,1262,1589,269,596,0.6243475686554867
