index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.7237189,0.19994868,inf,0.5,0.2753623188405797,0.0,1.0,0.0,0.0,0,171,0,450,0.49
1,4,square(0.85009575 / sex),0.19478834,0.771401906164393,0.5960233918128655,0.5958132045088567,0.5955555555555555,0.5964912280701754,0.7952522255192879,0.6810673443456162,268,102,69,182,0.5560233918128654
2,5,(age * 0.2822309) + 0.72372425,0.1202948,0.6120277614051988,0.8489798570500324,0.8260869565217391,0.8666666666666667,0.7192982456140351,0.8904109589041096,0.8783783783783784,390,123,48,60,0.7989798570500324
3,6,abs((age * 0.2845742) + 0.72291434),0.12013215,0.6102904604578426,0.8489408706952566,0.8260869565217391,0.8666666666666667,0.7192982456140351,0.8904109589041096,0.8783783783783784,390,123,48,60,0.7889408706952565
4,7,abs(log((age * 0.5384059) + 2.1303048)),0.11891081,0.650878190953103,0.8488888888888888,0.8260869565217391,0.8666666666666667,0.7192982456140351,0.8904109589041096,0.8783783783783784,390,123,48,60,0.7788888888888887
5,8,log((age + rr_std_ms) + 3.6013877) * 0.61474544,0.11073208,0.7022117843633823,0.9016894087069525,0.8276972624798712,0.82,0.847953216374269,0.9341772151898734,0.8733727810650888,369,145,26,81,0.8216894087069525
6,9,abs(0.62698597 * log(age + (3.51033 + rr_std_ms))),0.10836289,0.6977065212051365,0.9031838856400259,0.8276972624798712,0.82,0.847953216374269,0.9341772151898734,0.8733727810650888,369,145,26,81,0.813183885640026
7,11,((age + -1.2626085) * (-0.10617677 * (rr_std_ms - 2.3611345))) + 1.0594789,0.10723457,0.7251003676662968,0.8823261858349576,0.8003220611916264,0.7755555555555556,0.8654970760233918,0.9381720430107527,0.8491484184914841,349,148,23,101,0.7723261858349576
8,12,1.1453682 - (square(4.5483046 - rr_std_ms) * ((age + -1.5768298) * -0.011936575)),0.104713984,0.7025692421165645,0.8853801169590645,0.8099838969404187,0.7911111111111111,0.8596491228070176,0.9368421052631579,0.8578313253012049,356,147,24,94,0.7653801169590645
9,13,abs((square((age + -3.1727834) * (rr_std_ms - 3.8512046)) * -0.0024479385) + 1.1566972),0.10148767,0.7264402689383518,0.8960753736192333,0.8164251207729468,0.7977777777777778,0.8654970760233918,0.9397905759162304,0.8629807692307693,359,148,23,91,0.7660753736192333
10,15,abs((square(((rr_std_ms - 2.5797763) * (age + -3.1167939)) + rr_std_ms) * -0.0053489385) + 1.1324458),0.10125508,0.7303782454237545,0.8951267056530212,0.8164251207729468,0.7977777777777778,0.8654970760233918,0.9397905759162304,0.8629807692307693,359,148,23,91,0.7451267056530212
11,16,(((rr_std_ms - 2.4553466) * (age + -1.5291002)) * ((8.50139 - square(rr_mean_ms)) * -0.012555488)) + 1.107637,0.10007236,0.7119683037436626,0.8977128005198179,0.8293075684380032,0.8155555555555556,0.8654970760233918,0.941025641025641,0.8738095238095238,367,148,23,83,0.7377128005198179
12,17,(((age + -1.53197) * abs((square(rr_mean_ms) - 8.630095) * (2.1452577 - rr_std_ms))) * 0.014095588) + 1.116872,0.0988582,0.7108714598879442,0.8991682910981157,0.8325281803542673,0.82,0.8654970760233918,0.9413265306122449,0.8764845605700713,369,148,23,81,0.7291682910981157
13,18,(((((square(rr_mean_ms) + -7.0565553) - rr_mean_ms) * 0.014961844) * (rr_std_ms - 2.4020371)) * (age + -1.525638)) + 1.0934073,0.0970434,0.6894767340907133,0.9055490578297596,0.8341384863123994,0.8177777777777778,0.8771929824561403,0.9460154241645244,0.8772348033373063,368,150,21,82,0.7255490578297596
14,19,1.1041276 + (abs(((-7.0870085 + (square(rr_mean_ms) - rr_mean_ms)) * 0.01679226) * (rr_std_ms - 2.133752)) * (-1.5272857 + age)),0.095887125,0.6870680751590581,0.9061598440545808,0.8341384863123994,0.82,0.8713450292397661,0.9437340153452686,0.8775267538644471,369,149,22,81,0.7161598440545809
15,20,(((age + -1.5255457) * ((rr_std_ms - 2.2499127) * 0.015526116)) * (square(rr_mean_ms) + ((comp_sig_hjorth_complexity - rr_mean_ms) - 6.592054))) + 1.0700476,0.09436616,0.6484302030791584,0.9136712150747238,0.8582930756843801,0.8666666666666667,0.8362573099415205,0.9330143540669856,0.8986175115207373,390,143,28,60,0.7136712150747238
