index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.7682322,0.1780455,inf,0.5,0.23108108108108108,0.0,1.0,0.0,0.0,0,171,0,569,0.49
1,4,-0.23079206 + abs(sex),0.1757603,0.8141351104379317,0.557472327567601,0.5364864864864864,0.5184534270650264,0.5964912280701754,0.8104395604395604,0.632368703108253,295,102,69,274,0.517472327567601
2,5,(age * 0.17029905) + 0.76824194,0.14904347,0.7740087989780763,0.7261328482307114,0.6648648648648648,0.6379613356766256,0.7543859649122807,0.8962962962962963,0.7453798767967146,363,129,42,206,0.6761328482307114
3,6,log(age + 3.7828555) * 0.5952469,0.14736685,0.7972683741231528,0.7261328482307114,0.6648648648648648,0.6379613356766256,0.7543859649122807,0.8962962962962963,0.7453798767967146,363,129,42,206,0.6661328482307114
4,7,0.76824343 + ((comp_sig_hjorth_complexity + age) / 8.872761),0.1455088,0.6710495080607111,0.7833071254586379,0.7594594594594595,0.7838312829525483,0.6783625730994152,0.8902195608782435,0.8336448598130841,446,116,55,123,0.7133071254586378
5,8,log(age + (comp_sig_hjorth_complexity + 4.462214)) * 0.5371826,0.13790213,0.6880708356624796,0.7833071254586379,0.7594594594594595,0.7838312829525483,0.6783625730994152,0.8902195608782435,0.8336448598130841,446,116,55,123,0.7033071254586379
6,10,log(((age + -3.7795193) / (comp_sig_hjorth_complexity + 3.6753216)) + 3.3069623),0.13523515,0.6825495723761654,0.7859895785157093,0.7716216216216216,0.81195079086116,0.6374269005847953,0.8816793893129771,0.8453796889295517,462,109,62,107,0.6859895785157093
7,11,((age - 2.9579825) / (wav_wavelet_coef_mean_abs + (comp_sig_hjorth_complexity + 6.0040674))) + 1.2901219,0.13216348,0.7062811641222805,0.8050648002548845,0.7608108108108108,0.7785588752196837,0.7017543859649122,0.8967611336032388,0.8334901222953904,443,120,51,126,0.6950648002548845
8,12,log(((age - 3.4950187) / ((comp_sig_hjorth_activity + 3.634034) + comp_sig_hjorth_complexity)) + 3.2688758),0.12850149,0.795536743320128,0.8148901838662268,0.7,0.6625659050966608,0.8245614035087719,0.9262899262899262,0.7725409836065574,377,141,30,192,0.6948901838662268
9,13,(((age + -2.0693128) / (comp_sig_hjorth_activity + (comp_sig_hjorth_complexity + 2.2189925))) * 0.2576192) + 1.0788383,0.12812445,0.7616005441068472,0.8146229663203115,0.7391891891891892,0.7328646748681898,0.7602339181286549,0.9104803493449781,0.8120740019474196,417,130,41,152,0.6846229663203115
10,14,log(((age - 3.605789) / (comp_sig_hjorth_complexity + ((wav_wavelet_coef_min * -0.6187877) + 3.5958114))) + 3.3033898),0.12785211,0.7731733148360053,0.8159179436582081,0.7256756756756757,0.7012302284710018,0.8070175438596491,0.9236111111111112,0.7972027972027972,399,138,33,170,0.6759179436582081
11,15,((age + -1.6442155) * ((0.49078497 / ((comp_sig_hjorth_complexity + comp_sig_hjorth_activity) + 2.5891857)) + -0.08478685)) + 1.009675,0.12778848,0.7748114711698038,0.8158562780706893,0.7391891891891892,0.7311072056239016,0.7660818713450293,0.9122807017543859,0.8117073170731708,416,131,40,153,0.6658562780706893
12,16,log((((age - 3.322905) / (comp_sig_hjorth_complexity + ((wav_wavelet_coef_min * -0.5610183) + 3.149626))) + 3.8539648) / 1.2145416),0.12771587,0.7793953423907307,0.8163187699770809,0.7243243243243244,0.6977152899824253,0.8128654970760234,0.9254079254079254,0.7955911823647295,397,139,32,172,0.6563187699770808
13,17,((age + -2.2004838) * ((0.27441126 / (comp_sig_hjorth_activity + (comp_sig_hjorth_complexity + 2.2478247))) + (wav_wavelet_energy_d5 * -0.016889425))) + 1.1090732,0.12673095,0.7975406105064792,0.8202859227741293,0.7162162162162162,0.6836555360281195,0.8245614035087719,0.9284009546539379,0.7874493927125507,389,141,30,180,0.6502859227741292
14,18,((-2.0215795 + age) * ((0.27209434 + (-0.027953854 * square(rr_mean_ms))) / ((2.215979 + comp_sig_hjorth_complexity) + comp_sig_hjorth_activity))) + 1.0616498,0.124867685,0.7866286111771614,0.8278091244514332,0.7364864864864865,0.7082601054481547,0.8304093567251462,0.9328703703703703,0.8051948051948052,403,142,29,166,0.6478091244514332
15,19,abs(((-2.036134 + age) * (((-0.027484534 * square(rr_mean_ms)) + 0.27337405) / (comp_sig_hjorth_complexity + (2.2181756 + comp_sig_hjorth_activity)))) + 1.0660173),0.12486202,0.7425739042559459,0.8275213517096783,0.777027027027027,0.7838312829525483,0.7543859649122807,0.9139344262295082,0.8438978240302744,446,129,42,123,0.6375213517096783
