index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.49998686,0.24999996,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,39,0,39,0.49
1,4,1.5000184 - square(sex),0.19063704,0.7681748245810054,0.7435897435897436,0.7435897435897436,0.8717948717948718,0.6153846153846154,0.6938775510204082,0.7727272727272727,34,24,15,5,0.7035897435897436
2,5,(-0.25141594 / sex) + 0.42119282,0.18678823,0.7150820537506977,0.7435897435897436,0.7435897435897436,0.8717948717948718,0.6153846153846154,0.6938775510204082,0.7727272727272727,34,24,15,5,0.6935897435897436
3,7,0.19590086 * (comp_sig_hjorth_complexity + (2.552577 - sex)),0.16626969,0.5443764664706612,0.8165680473372782,0.782051282051282,0.7692307692307693,0.7948717948717948,0.7894736842105263,0.7792207792207793,30,31,8,9,0.7465680473372782
4,8,log((0.3398014 * (comp_sig_hjorth_complexity - sex)) - -1.7217207),0.16223724,0.5870108116880093,0.8165680473372782,0.782051282051282,0.7692307692307693,0.7948717948717948,0.7894736842105263,0.7792207792207793,30,31,8,9,0.7365680473372782
5,10,log(((age + (wav_wavelet_total_energy - sex)) * 0.2736237) - -1.7227039),0.15690763,0.4793771060035483,0.8297172912557529,0.7692307692307693,0.8717948717948718,0.6666666666666666,0.723404255319149,0.7906976744186046,34,26,13,5,0.7297172912557529
6,11,((wav_wavelet_coef_min - (age + (comp_sig_hjorth_complexity - sex))) * -0.13649361) - -0.49999696,0.15351796,0.6469138895978767,0.8527284681130836,0.7692307692307693,0.6666666666666666,0.8717948717948718,0.8387096774193549,0.7428571428571429,26,34,5,13,0.7427284681130836
7,12,log((((comp_sig_hjorth_activity + (comp_sig_hjorth_complexity - sex)) + age) * 0.23934813) - -1.7368463),0.1474977,0.5162780627719008,0.8645627876397107,0.782051282051282,0.8461538461538461,0.717948717948718,0.75,0.7951807228915663,33,28,11,6,0.7445627876397107
8,14,1.3180825 - square((((comp_sig_hjorth_complexity + comp_sig_hjorth_activity) + (age - sex)) * 0.08994685) + -0.8770965),0.14220345,0.5080004366773577,0.8645627876397107,0.782051282051282,0.8461538461538461,0.717948717948718,0.75,0.7951807228915663,33,28,11,6,0.7245627876397107
9,15,abs(square(((comp_sig_hjorth_complexity + (comp_sig_hjorth_activity + (age - sex))) * 0.12199077) + -0.6370085) - 0.98271954),0.14200285,0.5363174424666546,0.8632478632478633,0.782051282051282,0.8461538461538461,0.717948717948718,0.75,0.7951807228915663,33,28,11,6,0.7132478632478633
10,16,1.2886957 - square((((((age - sex) + comp_rr_hjorth_activity) + comp_sig_hjorth_complexity) - wav_wavelet_coef_min) * 0.08651002) + -0.8575895),0.1419639,0.6617665934002794,0.8593030900723209,0.782051282051282,0.717948717948718,0.8461538461538461,0.8235294117647058,0.7671232876712328,28,33,6,11,0.6993030900723208
11,17,abs(square((((((age + comp_sig_hjorth_complexity) - wav_wavelet_coef_min) - sex) + comp_rr_hjorth_activity) * 0.115705036) + -0.6420225) - 0.99450207),0.14188156,0.6875690757684324,0.8579881656804733,0.782051282051282,0.717948717948718,0.8461538461538461,0.8235294117647058,0.7671232876712328,28,33,6,11,0.6879881656804733
12,18,1.0811107 - square((((((comp_sig_hjorth_complexity - sex) / 0.61313874) - snr_db) + (age - wav_wavelet_coef_min)) * 0.06832477) + -0.7234138),0.14036623,0.556683703906749,0.8842866535174227,0.8333333333333334,0.8717948717948718,0.7948717948717948,0.8095238095238095,0.8395061728395061,34,31,8,5,0.7042866535174228
13,19,(((age + ((heart_rate_bpm / sex) + ((comp_sig_hjorth_complexity - quality_score) - wav_wavelet_coef_min))) - (sex / 0.44940507)) * 0.08944785) - -0.48450637,0.13977784,0.5233536011334464,0.8763971071663379,0.8205128205128205,0.8461538461538461,0.7948717948717948,0.8048780487804879,0.825,33,31,8,6,0.686397107166338
