feature,f_statistic,p_value,max_cohens_d,is_significant,n_significant_pairs,used_nonparametric
comp_rr_shannon_entropy,530.7208227722145,1.8621224146130516e-112,0.7718300019343307,True,11,True
comp_sig_hjorth_complexity,377.2800669283113,2.3331236515019672e-79,0.6230846201876569,True,11,True
wav_wavelet_qrs_peak,340.2776538481278,2.167896207477653e-71,0.5080859845349126,True,12,True
wav_wavelet_energy_approx,329.3914627060217,4.774076579277876e-69,0.5958413987066493,True,11,True
wav_wavelet_energy_d4,327.4610904110789,1.2423921301977208e-68,0.5562371814867164,True,13,True
wav_wavelet_energy_d5,310.7206480388412,4.959396849233746e-65,0.6016059181918076,True,11,True
comp_sig_gzip_ratio,306.7506831027181,3.54138399986375e-64,0.7408324975075309,True,12,True
comp_sig_compression_ratio_mean,296.0376314275293,7.119965626411535e-62,0.7326725017198158,True,12,True
comp_sig_lzma_ratio,294.32152753917336,1.6648049448546723e-61,0.7528046563039484,True,12,True
comp_sig_kolmogorov_estimate,294.32152753917336,1.6648049448546723e-61,0.7528046563039484,True,12,True
wav_wavelet_energy_entropy,292.72502596223023,3.668766453832025e-61,0.5046281265043255,True,9,True
wav_wavelet_energy_concentration,292.72502596223023,3.668766453832025e-61,0.5046281265043255,True,9,True
comp_sig_bzip2_ratio,257.6776612266477,1.237334547993687e-53,0.6507110696489392,True,10,True
wav_wavelet_coef_kurtosis,242.39429599500681,2.353497192435992e-50,0.2568386984003289,True,9,True
comp_rr_approx_entropy,232.43607559696846,3.213769886293001e-48,0.5053700558689981,True,9,True
wav_wavelet_coef_max,202.12167963344498,9.988563209938024e-42,0.5216212479171235,True,12,True
wav_wavelet_qrs_variability,197.60409964829822,9.244943249425856e-41,0.4579796989839002,True,12,True
wav_wavelet_coef_skewness,170.5316497633654,5.619097003205635e-35,0.37886239145630174,True,9,True
comp_sig_hjorth_mobility,152.17294783439482,4.60174544967323e-31,0.21642186294603913,True,8,True
wav_wavelet_qrs_energy_ratio,149.12726823683312,2.047795599147588e-30,0.250503638116072,True,9,True
wav_wavelet_energy_d3,149.12726823683312,2.047795599147588e-30,0.250503638116072,True,9,True
wav_wavelet_coef_std,119.06383459893433,4.9545187015255756e-24,0.48096535558281045,True,11,True
comp_rr_permutation_entropy,109.81569713323077,4.481765446456057e-22,0.32466106608162015,True,8,True
comp_rr_hjorth_activity,93.05878865765771,1.5290427057513967e-18,0.36017340445729873,True,8,True
wav_wavelet_coef_mean_abs,87.22146874843685,2.5745587469522912e-17,0.40353659689277455,True,8,True
wav_wavelet_coef_min,86.90310711663635,3.00265955290914e-17,0.43777265377455465,True,10,True
comp_rr_lempel_ziv_complexity,64.6172879259915,1.345484830746718e-12,0.27980587898596404,True,6,True
wav_wavelet_energy_d6,47.301315734310684,4.931975410237402e-09,0.2080655395478122,True,6,True
comp_sig_hjorth_activity,45.9655660878383,9.229893508560095e-09,0.3492801334686532,True,5,True
wav_wavelet_total_energy,42.92044114361261,3.8348440652793153e-08,0.2741716028846113,True,5,True
comp_rr_sample_entropy,25.818263308017627,1.0410620179120229e-05,0.7240963811588483,True,2,True
comp_rr_hjorth_complexity,25.065068057912868,0.00013536020319624266,0.10236260959782295,True,3,True
wav_wavelet_energy_d2,21.874663527410487,0.0005531146890399772,0.1086660453529996,True,2,True
wav_wavelet_energy_d1,14.760898437487741,0.011434362219344367,0.1730402201310654,True,1,True
comp_sig_lempel_ziv_complexity,11.75517447212771,0.03830089650092151,0.10674806358567364,True,1,True
comp_rr_hjorth_mobility,11.633900290191377,0.040163537100795045,0.1119186916916014,True,0,True
wav_wavelet_n_levels,,,0.0,False,0,False
wav_wavelet_signal_length,,,0.0,False,0,False
hrv_hrv_spectral_n_intervals,,,0.0,False,0,False
