feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
label_STTC,72133.8616917484,0.0,0.6729371202197401,5,2,3,0.20818181351771578,1,0.0,0.9927432780516671,1.0,0.6642477593505557,1
diag_STTC,72133.8616917484,0.0,0.6778561337029947,5,1,1,0.1824122472791081,2,0.0,1.0,0.8762160545958797,0.6254053515319599,2
label_NORM,305636.10129623255,0.0,0.4896668495198764,3,4,3,0.10909031357565897,3,0.0,0.7223757744064699,0.5240146184353209,0.415463464280597,3
diag_NORM,305636.10129623255,0.0,0.4948848168124549,3,3,1,0.088108376383273,4,0.0,0.7300735247595924,0.4232280183099432,0.38443384768984523,4
label_CD,1604.923295934942,0.0,0.3458372398751375,7,5,7,0.07168041570784153,5,0.0,0.5101926834915496,0.3443164150443031,0.2848363661786176,5
diag_CD,1604.923295934942,0.0,0.34080740973846835,7,6,8,0.05875095501264127,6,0.0,0.5027724804623431,0.2822098338942643,0.2616607714522025,6
label_MI,inf,0.0,0.1889934816216492,1,9,5,0.048083475488101504,7,,0.2788106092501,0.23096866472445113,0.25488963698727557,7
diag_MI,inf,0.0,0.18506230394623957,1,10,6,0.03618026741137007,8,,0.27301118149551973,0.17379168141549126,0.2234014314555055,8
diag_OTHER,813.6096690632572,0.0,0.2314161739841598,9,8,10,0.02867830626665658,9,0.0,0.34139423172285654,0.13775605938900193,0.15971676370395282,9
label_OTHER,813.6096690632572,0.0,0.23476946484694317,9,7,9,0.025643265324276868,12,0.0,0.34634113814747647,0.12317725977583861,0.15650613264110502,10
diag_HYP,673.5323091690476,0.0,0.16437362282373424,11,11,11,0.026053644715829053,11,0.0,0.24249042628823536,0.12514851453924888,0.12254631360916142,11
label_HYP,673.5323091690476,0.0,0.1559374681465151,11,12,12,0.026208345615258127,10,0.0,0.23004507946938443,0.1258916193129803,0.11864556626078825,12
rr_mean_ms,194.91473510785866,5.045962535805811e-196,0.1070888308244271,14,13,13,0.010591684218447155,13,0.0,0.1579816505302119,0.05087708690531619,0.06961957914517604,13
heart_rate_bpm,187.64797882726882,4.894737672003853e-189,0.10422895577423974,15,14,14,0.007649582412559954,14,0.0,0.15376265049761734,0.03674471983552489,0.06350245677771407,14
n_beats,206.25703854393785,7.160727081603083e-207,0.09061799961565997,13,16,14,0.00739282654066167,15,0.0,0.13368323322624767,0.0355113946590371,0.056398209295094925,15
comp_rr_lempel_ziv_complexity,11.558970499574187,3.825679563797233e-11,0.09964784669561588,46,15,29,0.0007100350020900759,56,0.0,0.14700441840255882,0.0034106485580675063,0.050138355653542105,16
comp_rr_shannon_entropy,116.97454591780657,1.4834108397608077e-119,0.08400342980262421,16,17,16,0.0030896729397674504,19,0.0,0.1239251599653307,0.014841224060643157,0.04625546134199129,17
comp_rr_approx_entropy,52.8374322052931,4.43238979111845e-54,0.08198256799937553,22,18,17,0.0012862277710000635,40,0.0,0.12094390523771009,0.006178386811346557,0.04237409734968555,18
comp_rr_permutation_entropy,19.896214020002297,9.208317215061628e-20,0.08063571806477032,39,19,25,0.0008799358775375787,54,0.0,0.11895697929924047,0.004226766318676046,0.041061248539305505,19
rr_std_ms,28.443071444272924,1.1348222389711787e-28,0.06266663486244273,34,20,22,0.0033861457916458835,17,0.0,0.09244828179116302,0.016265329494584937,0.036237870428582654,20
heart_rate_std,15.954229732681439,1.1358689505652988e-15,0.053310926051764795,43,21,32,0.004232415091122196,16,0.0,0.07864637258725933,0.02033037862244402,0.032992250403234454,21
comp_rr_hjorth_activity,17.10979710412742,7.213515548219538e-17,0.05088864443056185,40,22,30,0.003359674280125882,18,0.0,0.07507292757324065,0.016138173759543996,0.03040370044426155,22
