index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.500674,0.24999946,inf,0.5,0.5027027027027027,0.0,1.0,0.0,0.0,0,93,0,92,0.49
1,5,(wav_wavelet_coef_min * -0.10501412) + 0.50067914,0.23897138,0.4392048840867169,0.5729312762973353,0.5891891891891892,0.8043478260869565,0.3763440860215054,0.5606060606060606,0.6607142857142857,74,35,58,18,0.5229312762973353
2,6,(abs(wav_wavelet_coef_std) * 0.1772466) + 0.3680486,0.23617539,0.4216900504271748,0.5075970079476391,0.5405405405405406,0.8369565217391305,0.24731182795698925,0.5238095238095238,0.6443514644351465,77,23,70,15,0.44759700794763907
3,7,((wav_wavelet_coef_min - comp_sig_hjorth_complexity) * -0.1155553) + 0.50067645,0.23086008,0.4070519960737523,0.5614773258532024,0.5675675675675675,0.8913043478260869,0.24731182795698925,0.5394736842105263,0.6721311475409836,82,23,70,10,0.4914773258532024
4,8,log((-0.21783113 * (wav_wavelet_coef_min - comp_sig_hjorth_complexity)) + 1.666917),0.2304551,0.3990628552543952,0.5614773258532024,0.5675675675675675,0.8913043478260869,0.24731182795698925,0.5394736842105263,0.6721311475409836,82,23,70,10,0.4814773258532024
5,9,(0.50067645 + (wav_wavelet_coef_min * -0.13285372)) - (comp_sig_hjorth_complexity * -0.098256305),0.230092,0.3908294454262578,0.5682561944834034,0.5621621621621622,0.9239130434782609,0.20430107526881722,0.5345911949685535,0.6772908366533864,85,19,74,7,0.4782561944834034
6,10,((abs(wav_wavelet_coef_mean_abs) + (comp_sig_hjorth_complexity - wav_wavelet_coef_min)) * 0.093878806) + 0.43229213,0.22751297,0.4160627975459418,0.5448807854137447,0.5513513513513514,0.8043478260869565,0.3010752688172043,0.5323741007194245,0.6406926406926406,74,28,65,18,0.44488078541374476
7,11,log(sqrt(abs(comp_sig_hjorth_complexity + (abs(wav_wavelet_coef_mean_abs) - wav_wavelet_coef_min)) + 1.8817682)),0.22237687,0.5973368104902383,0.5313230481533426,0.5513513513513514,0.2717391304347826,0.8279569892473119,0.6097560975609756,0.37593984962406013,25,77,16,67,0.42132304815334265
8,12,sqrt(abs((abs(wav_wavelet_coef_mean_abs) + (comp_sig_hjorth_complexity - wav_wavelet_coef_min)) * 0.102142334)) + 0.22370103,0.22132835,0.6046403848499053,0.5313230481533426,0.5513513513513514,0.2717391304347826,0.8279569892473119,0.6097560975609756,0.37593984962406013,25,77,16,67,0.41132304815334264
9,13,sqrt(log(1.0999988 + abs(wav_wavelet_coef_min - (comp_sig_hjorth_complexity + abs(wav_wavelet_coef_mean_abs))))) * 0.6670157,0.21981288,0.6413558833869616,0.5313230481533426,0.5513513513513514,0.2717391304347826,0.8279569892473119,0.6097560975609756,0.37593984962406013,25,77,16,67,0.40132304815334263
10,14,sqrt(log(1.1099889 + abs(comp_sig_hjorth_complexity + abs(abs(wav_wavelet_coef_mean_abs) - wav_wavelet_coef_min)))) * 0.66751015,0.21834064,0.6432027899773437,0.5358812529219262,0.5513513513513514,0.2717391304347826,0.8279569892473119,0.6097560975609756,0.37593984962406013,25,77,16,67,0.3958812529219262
11,16,((comp_rr_lempel_ziv_complexity * -0.036728583) + 0.32495672) * (sqrt(abs((abs(wav_wavelet_coef_mean_abs) + comp_sig_hjorth_complexity) - wav_wavelet_coef_min)) + 0.6745907),0.21787344,0.5687515751702528,0.5476858345021038,0.5675675675675675,0.31521739130434784,0.8172043010752689,0.6304347826086957,0.42028985507246375,29,76,17,63,0.3876858345021038
12,17,(age * 0.06371466) + ((sqrt(abs(comp_sig_hjorth_complexity + abs(wav_wavelet_coef_min - abs(wav_wavelet_coef_mean_abs)))) * 0.30392328) + 0.24214898),0.2162304,0.4088878880836492,0.5542309490416083,0.5675675675675675,0.7282608695652174,0.40860215053763443,0.5491803278688525,0.6261682242990654,67,38,55,25,0.38423094904160826
13,18,(sqrt(abs(((comp_sig_hjorth_complexity - wav_wavelet_coef_min) + abs(wav_wavelet_coef_mean_abs)) * 0.100626245)) + ((comp_rr_lempel_ziv_complexity - age) * -0.05971052)) + 0.22567393,0.21421525,0.47534308667705694,0.5731650303880318,0.5675675675675675,0.5652173913043478,0.5698924731182796,0.5652173913043478,0.5652173913043478,52,53,40,40,0.3931650303880318
14,19,0.2184144 + abs(sqrt(abs(0.102308765 * ((comp_sig_hjorth_complexity - wav_wavelet_coef_min) + abs(wav_wavelet_coef_mean_abs)))) + ((comp_rr_lempel_ziv_complexity - age) * -0.069128916)),0.21406637,0.6043159345213271,0.5752688172043011,0.572972972972973,0.2826086956521739,0.8602150537634409,0.6666666666666666,0.3969465648854962,26,80,13,66,0.3852688172043011
