feature,f_statistic,p_value,max_cohens_d,is_significant,n_significant_pairs,used_nonparametric
wav_wavelet_qrs_peak,1816.23804991004,0.0,1.121555104969708,True,13,True
wav_wavelet_coef_max,1415.7686015592772,5.272074118842429e-304,0.9899516828565491,True,12,True
wav_wavelet_coef_std,1333.8425316059584,2.973216057341345e-286,1.0077691213405127,True,12,True
wav_wavelet_qrs_variability,1300.5254868090415,4.914476782630208e-279,0.928490248570246,True,14,True
comp_sig_hjorth_complexity,1192.2373050002789,1.4106324590724536e-255,0.5012175028503805,True,13,True
comp_sig_hjorth_activity,1076.3191124970326,1.795620929063725e-230,0.5430940324432257,True,14,True
wav_wavelet_coef_min,1035.5432204102544,1.2119243424242586e-221,0.804146707802418,True,14,True
wav_wavelet_total_energy,992.162505303233,2.989888087379422e-212,0.46538392199491274,True,14,True
wav_wavelet_energy_d4,897.1160189510265,1.1201466546469369e-191,0.46739980558409605,True,10,True
wav_wavelet_coef_mean_abs,836.5922919974691,1.4009996379995264e-178,0.7035535097420271,True,14,True
wav_wavelet_energy_d5,793.995624297706,2.3026435311970202e-169,0.5748072212053768,True,12,True
wav_wavelet_energy_approx,709.0431807190616,5.443693299518473e-151,0.5446451800924407,True,13,True
wav_wavelet_energy_concentration,650.1004315673345,3.0114593988691915e-138,0.4016701123712826,True,9,True
wav_wavelet_energy_entropy,650.1004315673199,3.011459398891e-138,0.4016701123712826,True,9,True
comp_sig_bzip2_ratio,639.3119384118868,6.465481039614162e-136,0.5607753359256054,True,13,True
comp_sig_compression_ratio_mean,515.1988123085405,4.1812572002348926e-109,0.4875307089157406,True,12,True
comp_sig_gzip_ratio,499.6675968850497,9.41901331975316e-106,0.4598089879533263,True,10,True
wav_wavelet_coef_skewness,438.47565542379743,1.5028866452191358e-92,0.29859457861307154,True,10,True
comp_sig_kolmogorov_estimate,421.64045093393986,6.415905660009178e-89,0.4407586292002281,True,11,True
comp_sig_lzma_ratio,421.64045093393986,6.415905660009178e-89,0.4407586292002281,True,11,True
comp_rr_shannon_entropy,399.6860290118295,3.4668454457807644e-84,0.4185639755765259,True,9,True
wav_wavelet_energy_d1,346.7047744887823,8.964494183533216e-73,0.2851874881537129,True,10,True
wav_wavelet_qrs_energy_ratio,276.82679921074305,9.564301673798776e-58,0.10515830681690862,True,8,True
wav_wavelet_energy_d3,276.82679921074305,9.564301673798776e-58,0.10515830681690862,True,8,True
comp_sig_lempel_ziv_complexity,260.31661798342344,3.357620345247017e-54,0.23855785575702068,True,8,True
comp_sig_hjorth_mobility,204.77418090622814,2.7035229234855015e-42,0.09897616224826578,True,7,True
comp_rr_approx_entropy,139.72687195316303,2.045147613847403e-28,0.22941206302375544,True,4,True
wav_wavelet_energy_d2,113.8316822905399,6.344134614134497e-23,0.2744674002292337,True,6,True
wav_wavelet_energy_d6,101.66909264151036,2.3506611432948037e-20,0.2651706193176178,True,9,True
comp_rr_hjorth_activity,101.43077124222327,2.6390148755631104e-20,0.3157777128370192,True,10,True
wav_wavelet_coef_kurtosis,93.96103093922284,9.877631079917153e-19,0.2769821062308774,True,8,True
comp_rr_permutation_entropy,38.35558432480794,3.2008009843750615e-07,0.17718761188379653,True,3,True
comp_rr_sample_entropy,22.269385552625614,5.733104060817773e-05,0.47975539061030037,True,2,True
comp_rr_lempel_ziv_complexity,26.955832307978625,5.818331826831401e-05,0.15726391651427443,True,3,True
comp_rr_hjorth_complexity,16.965995691927674,0.004564740613545682,0.19182642422059545,True,2,True
comp_rr_hjorth_mobility,13.765334106210503,0.01717080330700659,0.21479267751319486,True,1,True
hrv_hrv_spectral_n_intervals,,,0.0,False,0,False
wav_wavelet_n_levels,,,0.0,False,0,False
wav_wavelet_signal_length,,,0.0,False,0,False
