feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
diag_MI,inf,0.0,0.5609464101965451,1,1,1,0.1831569140687531,1,,1.0,1.0,1.0,1
label_MI,inf,0.0,0.5605330490249871,1,2,2,0.1340949333514136,2,,0.9992631004244895,0.7321314296717037,0.8656972650480966,2
label_STTC,9208.934405380698,0.0,0.4487325506299924,3,3,3,0.13400135689983766,3,0.0,0.7999561856056177,0.7316205210224086,0.5105255688760088,3
diag_STTC,9208.934405380698,0.0,0.44053811284530564,3,4,4,0.12136778841192211,4,0.0,0.7853479491756608,0.6626437720301582,0.48266390706860635,4
label_CD,3338.6068161775497,0.0,0.35269359849207493,5,5,5,0.10526306996551851,5,0.0,0.6287474027483262,0.5747152407580151,0.4011542145021137,5
diag_CD,3338.6068161775497,0.0,0.3523301952219402,5,6,6,0.09149641293109717,6,0.0,0.6280995631980073,0.49955205565841443,0.3758838729521406,6
label_OTHER,2087.2937768803763,0.0,0.2239225486644858,7,7,7,0.04269599811898742,7,0.0,0.3991870606427939,0.23311158268893023,0.21076621444390806,7
diag_OTHER,2087.2937768803763,0.0,0.22090377463637223,7,8,8,0.040065466009931675,8,0.0,0.39380548769172385,0.21874940519521954,0.2041849642956478,8
diag_HYP,878.5233487464452,0.0,0.11693565316162413,9,9,9,0.019459693705262966,9,0.0,0.20846136286111908,0.1062460230027583,0.10490246195462578,9
label_HYP,878.5233487464452,0.0,0.10076366115133961,9,10,10,0.01743662825909375,10,0.0,0.1796315286446595,0.09520049159895991,0.09161067341453981,10
label_NORM,440.0936158021779,0.0,0.0890565630297635,11,11,11,0.013167442714336782,11,0.0,0.1587612674062033,0.0718915951455374,0.07688428751724691,11
age,209.15037106774213,1.938994696331841e-216,0.08900990905284756,15,12,13,0.01127979293386126,12,0.0,0.15867809729214624,0.06158540610499188,0.07342116779904605,12
diag_NORM,440.0936158021779,0.0,0.08358850846380328,11,13,12,0.00791023559856212,14,0.0,0.1490133583964205,0.04318829916293955,0.06406721918645335,13
quality_score,228.15885589940856,1.2148798943985435e-235,0.07014022933163577,14,15,15,0.008338783912259444,13,0.0,0.12503909117995773,0.04552808696661731,0.05685572604885835,14
snr_db,266.39626680482183,6.014217964234201e-274,0.07514103600411293,13,14,13,0.004947209027771372,16,0.0,0.1339540366748847,0.027010768623860405,0.0536549350995817,15
heart_rate_std,72.44251364855091,3.303994426348331e-75,0.06674279132678951,38,16,25,0.005148955200401462,15,0.0,0.11898247339421261,0.028112262245631944,0.04903157854661485,16
wav_wavelet_qrs_peak,125.03072788840176,3.6047602273452814e-130,0.06406004906928509,24,17,19,0.0034922036075088606,18,0.0,0.11419994478053554,0.01906673097908804,0.04442222525320786,17
rr_mean_ms,207.02919072063332,2.736054565865524e-214,0.05554241183710218,16,18,16,0.00466995621853568,17,0.0,0.0990155402146903,0.025497023916785808,0.04150418804382537,18
rr_std_ms,65.1164648284798,1.6983126194300628e-67,0.055394459984648314,42,19,28,0.0026286820237998057,21,0.0,0.09875178622720686,0.014352076399436694,0.037701287542214516,19
heart_rate_bpm,199.47707660732652,1.2621367843447213e-206,0.051125952387482076,17,21,17,0.0028311974094184836,19,0.0,0.09114231138330754,0.015457769769781741,0.03553336038436309,20
wav_wavelet_coef_max,181.81365947257382,1.2373466399405718e-188,0.05119720094702407,20,20,18,0.0020288066456766425,26,0.0,0.09126932629640241,0.01107687720112533,0.03411540116584258,21
wav_wavelet_coef_min,132.80037151960673,3.171171441337127e-138,0.049750262097175035,23,22,21,0.0022077946491856817,24,0.0,0.0886898662561072,0.01205411578596986,0.03358132734735902,22
wav_wavelet_coef_std,189.84718195370152,7.91190957994041e-197,0.047453876507963066,18,23,19,0.0027236753018713717,20,0.0,0.08459609624979349,0.01487072063710881,0.03315560562896743,23
wav_wavelet_total_energy,68.03595715339524,1.4315845844931689e-70,0.044687022793634235,40,26,32,0.0022629037933212274,23,0.0,0.07966362201689951,0.012355000655185657,0.030672874224028392,24
comp_sig_hjorth_activity,91.32231470431766,5.051013517793017e-95,0.044755766590424795,33,25,27,0.0019065200704811193,27,0.0,0.07978617168571096,0.010409217037613189,0.030065129574441383,25
n_beats,186.35972142112996,2.8388120860962457e-193,0.04130497855379822,19,32,22,0.002409840120892386,22,0.0,0.07363444671894011,0.013157243520644733,0.028930563413194946,26
wav_wavelet_qrs_variability,116.87125575382855,1.084905899209795e-121,0.04389294229981866,25,27,23,0.001489559663083999,32,0.0,0.07824801353918888,0.008132696877197063,0.028793570138795313,27
