feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
diag_confidence,885.9171691345922,0.0,0.1616499655095942,1,1,1,0.13454391822556627,1,1.0,1.0,1.0,1.0,1
age,214.04468293303043,4.6483581233066066e-178,0.08754061738704655,7,2,4,0.07723283172615332,2,0.24160800850278122,0.5415442998152131,0.5740343580351995,0.45239555545106463,2
quality_score,374.66089661941874,1.4407461849905231e-305,0.08251843956324612,3,4,3,0.053170083205375966,3,0.4229073661428258,0.5104760728102259,0.3951875633370137,0.44285700076335516,3
snr_db,411.9288661603558,0.0,0.08533869847683295,2,3,2,0.039470257900557186,5,0.46497446997527814,0.5279227756579259,0.29336337473377505,0.42875354012232636,4
morph_t_amplitude_mv,215.25576697325505,4.831294651994147e-179,0.08035593499790572,6,5,5,0.042529119710779745,4,0.2429750483146495,0.4970983739129623,0.31609841806062616,0.3520572800960793,5
wav_wavelet_coef_max,298.6762037858719,5.792280324395654e-246,0.06124069968206225,4,8,6,0.02471131077432839,7,0.33713784334672464,0.37884758891846165,0.18366724486869226,0.29988422571129286,6
wav_wavelet_qrs_peak,130.83574841313046,1.0747176751293972e-109,0.06921438449535788,14,6,9,0.03142149618909528,6,0.14768395169600032,0.42817444641675406,0.23354081405906696,0.26979973739060714,7
wav_wavelet_coef_std,282.520816636968,3.9817957619850977e-233,0.05502120611243866,5,12,7,0.01852004473966191,11,0.318902067236092,0.34037251996303736,0.13765055294890838,0.2656417133826792,8
wav_wavelet_coef_min,205.8655692959626,2.07237609258594e-171,0.055830210337778574,9,10,8,0.02007722656144285,9,0.23237564014823447,0.34537718682324714,0.1492243337806089,0.24232572025069685,9
comp_sig_hjorth_complexity,207.4976083534955,9.738240849021858e-173,0.052402163234959165,8,14,10,0.009623714332236199,33,0.2342178429120969,0.32417058098196133,0.07152842327738515,0.20997228239048113,10
comp_sig_hjorth_activity,113.52360070973043,2.8438591369254578e-95,0.06031392064633101,25,9,12,0.0159198011279457,15,0.128142454695427,0.3731143428097501,0.11832419731715968,0.20652699827411228,11
morph_t_r_ratio,22.617913570870076,1.218200845140317e-18,0.06869840460113252,52,7,26,0.022730480017501,8,0.025530505964755573,0.4249824884562388,0.1689446859975698,0.20648589347285473,12
wav_wavelet_qrs_variability,115.58421631911801,5.416479760036467e-97,0.055307354795491204,24,11,14,0.014489344038399415,21,0.13046842339902545,0.3421426946868641,0.10769230025029941,0.19343447277872963,13
heart_rate_std,118.57482823803883,1.7331883340909393e-99,0.04646208993801704,23,16,17,0.019167469979879,10,0.1338441474769798,0.2874240634171953,0.14246255224813845,0.18791025438077116,14
ectopic_ratio,188.74668164060725,1.9190936476298605e-157,0.042343350073435815,10,21,11,0.011872026111205618,27,0.21305229000695897,0.2619446898114102,0.08823903947335522,0.18774533976390814,15
morph_qrs_area_mv_ms,122.73815683561529,5.8745488654442e-103,0.04587327724553081,18,18,16,0.018421190437006588,12,0.13854360329816387,0.2837815467570152,0.13691581663411198,0.18641365556309705,16
rmssd,99.01014756749697,3.9443770482136614e-83,0.04849198755601858,32,15,21,0.017351591449631665,13,0.11176005050699603,0.29998142841014397,0.1289660036549648,0.18023582752403491,17
morph_r_amplitude_mv,119.53706607721575,2.7323554515711107e-100,0.045963900816091474,22,17,17,0.01590617752249824,16,0.13493029624201267,0.2843421628405076,0.11822293963396496,0.17916513290549507,18
wav_wavelet_total_energy,79.7576952653405,5.905356164844359e-67,0.053464972765914,37,13,24,0.014771967866353208,20,0.09002838870732324,0.33074533976773884,0.10979290674133357,0.1768555450721319,19
wav_wavelet_energy_d4,160.70529851468964,2.0283758463381446e-134,0.03732922837471442,11,24,14,0.012003447452501724,26,0.1813999142512099,0.2309262996563947,0.08921583086630228,0.16718068159130228,20
wav_wavelet_coef_mean_abs,154.02068986157337,6.644793737322224e-129,0.03984547189958665,12,22,12,0.010606566138462732,29,0.17385450381555242,0.24649230065701283,0.07883348633180548,0.16639343026812356,21
pnn50,105.5202298848144,1.3929548130246634e-88,0.04318531934911185,28,20,23,0.007346979005734714,48,0.11910846020502322,0.2671532852665454,0.05460654857261789,0.14695609801472884,22
rr_mean_ms,122.82267493809248,4.995445231103195e-103,0.029298536143433918,17,30,21,0.015100399366801727,19,0.1386390051093284,0.18124678252217133,0.11223397955071834,0.14403992239407268,23
morph_p_amplitude_mv,79.72361066122282,6.308827642357613e-67,0.036688255627062905,38,27,31,0.015192013161852843,17,0.08998991490265483,0.2269611101456461,0.1129149006674761,0.143288641905259,24
heart_rate_bpm,123.02432644568357,3.3932256940751893e-103,0.028765403568186798,16,31,21,0.015135087137398322,18,0.13886662402745828,0.17794871454197447,0.11249179700582204,0.14310237852508492,25
rr_std_ms,72.24626800875305,1.2643891600917667e-60,0.03905062516146218,40,23,30,0.013014628742564687,23,0.08154968717823449,0.24157521493033945,0.09673145329947455,0.1399521184693495,26
comp_sig_bzip2_ratio,135.6563613607161,1.0648733108078774e-113,0.028126664185909256,13,32,19,0.00856137609362208,40,0.15312533280423038,0.17399734108968856,0.06363257593902324,0.13025174994431407,27
wav_wavelet_energy_concentration,88.70079843719859,1.7707528386111416e-74,0.037308679226680574,36,25,29,0.007396636564622925,47,0.1001231283550424,0.23079917839182118,0.05497562923819624,0.12863264532835328,28
morph_r_s_ratio,75.14865525033058,4.5134397527860676e-63,0.03118040145411083,39,29,35,0.013831619385183062,22,0.08482582556080216,0.1928883891550241,0.10280375038575883,0.12683932170052836,29
wav_wavelet_energy_entropy,88.70079843720013,1.7707528386048007e-74,0.037308679226680574,35,25,28,0.0065254946519985755,54,0.10012312835504415,0.23079917839182118,0.048500851900703676,0.12647438621585635,30
morph_s_amplitude_mv,67.72295321248646,8.299358733887096e-57,0.02740713274607387,41,34,41,0.017230954164078067,14,0.07644388840397076,0.16954617131945635,0.12806936494290241,0.1246864748887765,31
