feature,f_statistic,p_value,max_cohens_d,is_significant,n_significant_pairs,used_nonparametric
age,3140.652986201083,0.0,0.649493763548379,True,7,True
quality_score,1929.587141035474,0.0,0.8161607482031178,True,10,True
snr_db,1943.506149440189,0.0,0.8929999838450506,True,9,True
comp_sig_hjorth_complexity,1482.0414567419357,0.0,0.6232184828915514,True,9,True
wav_wavelet_qrs_variability,1467.0624591085798,0.0,0.9065686751914265,True,10,True
wav_wavelet_coef_std,1602.0648281715257,0.0,1.1842192611967786,True,9,True
wav_wavelet_qrs_peak,2094.9740952369175,0.0,0.9635417043449533,True,10,True
wav_wavelet_coef_max,1738.3907901149796,0.0,1.1693252217530015,True,9,True
diag_confidence,3595.28535244914,0.0,1.7805619291079573,True,10,True
diag_n_diagnoses,8664.957414310176,0.0,3.296195846406343,True,10,True
comp_sig_hjorth_activity,1355.2764343991294,3.4442911563838197e-292,0.6622201375248538,True,10,True
wav_wavelet_coef_min,1341.2966723865538,3.7005837457042206e-289,0.8972946475139776,True,10,True
morph_t_amplitude_mv,1305.6312708146327,2.000908110341212e-281,0.556880200679368,True,8,True
wav_wavelet_total_energy,1255.913439513446,1.2036008812890881e-270,0.52807850457695,True,10,True
wav_wavelet_energy_d4,1219.8326924816938,7.992417290606767e-263,0.6437638895253671,True,8,True
wav_wavelet_coef_mean_abs,984.3743499374541,8.686355952077734e-212,0.8718429204264818,True,10,True
ectopic_ratio,902.0686610571072,5.935407236128552e-194,0.739437356808904,True,8,True
comp_sig_bzip2_ratio,854.1630950843289,1.420257488095181e-183,0.6013232798964192,True,9,True
wav_wavelet_energy_approx,803.9896637856145,1.0499345616043163e-172,0.6334399760923003,True,9,True
wav_wavelet_energy_entropy,775.3345358198858,1.6897509517513208e-166,0.43901783711707026,True,9,True
wav_wavelet_energy_concentration,775.3345358198858,1.6897509517513208e-166,0.43901783711707026,True,9,True
wav_wavelet_coef_skewness,761.2521804893331,1.8959522544468963e-163,0.43050287450482155,True,7,True
wav_wavelet_energy_d5,730.0947010925593,1.0604429083310946e-156,0.6089952278036318,True,10,True
