index,complexity,equation,loss,optimal_threshold,test_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_tn,test_fp,test_fn,score
0,1,0.499966,0.24999996,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,50,0,50,0.49
1,4,abs(sex * 0.50094813),0.24906987,inf,0.5,0.5,0.0,1.0,0.0,0.0,0,50,0,50,0.46
2,5,0.8293279 / (wav_wavelet_total_energy - -1.9147224),0.23018464,0.6139737034606466,0.5284,0.58,0.34,0.82,0.6538461538461539,0.4473684210526316,17,41,9,33,0.4784
3,6,sqrt(0.20232745 / (wav_wavelet_total_energy - -1.1277703)),0.22897246,0.5990510659493433,0.5284,0.58,0.34,0.82,0.6538461538461539,0.4473684210526316,17,41,9,33,0.4684
4,7,0.4999997 + ((age - wav_wavelet_coef_mean_abs) * 0.097248144),0.2278828,0.5345562780313318,0.5932,0.61,0.54,0.68,0.627906976744186,0.5806451612903226,27,34,16,23,0.5231999999999999
5,8,abs((wav_wavelet_qrs_variability + -4.786646) + comp_sig_hjorth_activity) * 0.10234817,0.22752394,0.5342093817734814,0.542,0.58,0.54,0.62,0.5869565217391305,0.5625,27,31,19,23,0.462
6,9,((age - (wav_wavelet_coef_mean_abs + wav_wavelet_qrs_peak)) * 0.069551334) + 0.5000026,0.22536281,0.5849683501717441,0.5872,0.62,0.42,0.82,0.7,0.525,21,41,9,29,0.4972000000000001
7,10,abs((age + 5.7894034) - (wav_wavelet_qrs_variability + comp_sig_hjorth_activity)) * 0.084623076,0.22370978,0.5280774902861852,0.5832,0.62,0.6,0.64,0.625,0.6122448979591837,30,32,18,20,0.4832000000000001
8,11,(age - (wav_wavelet_qrs_peak + ((comp_sig_gzip_ratio + -6.205503) + comp_sig_hjorth_activity))) * 0.08057501,0.22100484,0.5423093711747122,0.55,0.58,0.48,0.68,0.6,0.5333333333333333,24,34,16,26,0.44000000000000006
9,12,(age - ((wav_wavelet_qrs_peak / square(comp_rr_approx_entropy)) + (comp_sig_gzip_ratio + -5.922537))) * 0.08487597,0.21847948,0.4711874713558216,0.548,0.6,0.68,0.52,0.5862068965517241,0.6296296296296297,34,26,24,16,0.42800000000000005
10,13,(age + abs((comp_sig_gzip_ratio + -5.7960567) + (wav_wavelet_qrs_peak / square(comp_rr_approx_entropy)))) * 0.08663566,0.21810466,0.46999865552011566,0.5524,0.6,0.68,0.52,0.5862068965517241,0.6296296296296297,34,26,24,16,0.4224
11,14,(((wav_wavelet_qrs_peak / square(comp_rr_approx_entropy)) + -5.2471876) + (comp_sig_kolmogorov_estimate - (wav_wavelet_qrs_energy_ratio + age))) * -0.09586779,0.21536444,0.48818954513186913,0.5484000000000001,0.57,0.6,0.54,0.5660377358490566,0.5825242718446602,30,27,23,20,0.4084000000000001
12,15,((age + abs(comp_sig_gzip_ratio)) - (comp_sig_gzip_ratio + ((wav_wavelet_qrs_peak / square(comp_rr_approx_entropy)) + -4.6676846))) * 0.09239293,0.21434602,0.5282280225872369,0.5811999999999999,0.65,0.62,0.68,0.6595744680851063,0.6391752577319587,31,34,16,19,0.4311999999999999
13,16,((age + comp_rr_hjorth_mobility) - (((comp_sig_hjorth_activity + -7.5079613) + (wav_wavelet_qrs_peak / square(comp_rr_approx_entropy))) + comp_sig_gzip_ratio)) * 0.06687844,0.2135475,0.609077292563794,0.5716,0.58,0.34,0.82,0.6538461538461539,0.4473684210526316,17,41,9,33,0.41159999999999997
14,17,(age + (abs(comp_sig_gzip_ratio) - (((comp_sig_hjorth_activity + comp_sig_gzip_ratio) + -6.0478725) + (wav_wavelet_qrs_peak / square(comp_rr_approx_entropy))))) * 0.073617086,0.21259029,0.5404249756346848,0.5756,0.61,0.56,0.66,0.6222222222222222,0.5894736842105263,28,33,17,22,0.40559999999999996
15,18,abs(0.09239293 * ((abs(quality_score - wav_wavelet_qrs_peak) + age) - ((comp_sig_gzip_ratio + (wav_wavelet_qrs_peak / square(comp_rr_approx_entropy))) + -4.6676846))),0.21208724,0.6560897467120672,0.5700000000000001,0.6,0.34,0.86,0.7083333333333334,0.4594594594594595,17,43,7,33,0.39000000000000007
16,19,((age + abs(comp_sig_gzip_ratio)) - ((comp_sig_hjorth_activity + (comp_rr_hjorth_complexity + comp_sig_gzip_ratio)) + ((wav_wavelet_qrs_peak / square(comp_rr_approx_entropy)) + -6.4300036))) * 0.06969638,0.21097335,0.548351115449783,0.596,0.61,0.56,0.66,0.6222222222222222,0.5894736842105263,28,33,17,22,0.40599999999999997
17,20,abs(((age + abs(comp_sig_gzip_ratio - wav_wavelet_coef_min)) - ((wav_wavelet_qrs_peak / square(comp_rr_approx_entropy)) + ((comp_sig_gzip_ratio + comp_sig_hjorth_activity) + -5.489309))) * 0.07760302),0.21075094,0.5122925638189254,0.5664,0.6,0.66,0.54,0.5892857142857143,0.6226415094339622,33,27,23,17,0.3664
